PredictionString,image_id
7 0.9999904036521912 601.9771118164062 517.7423095703125 954.1033935546875 1022.7568359375 7 0.9999606609344482 212.9034423828125 42.47268295288086 459.543701171875 475.33123779296875 7 0.9999390244483948 116.48162841796875 423.3703918457031 330.4962463378906 707.729248046875 7 0.9998943209648132 637.9912109375 330.8779602050781 882.6856079101562 616.9031982421875 1 0.9998379945755005 555.6991577148438 105.23255920410156 758.3549194335938 370.4017333984375 7 0.9995417594909668 391.3597717285156 188.21826171875 603.3300170898438 551.406982421875 7 0.999535322189331 450.77227783203125 598.2283935546875 638.6388549804688 880.7072143554688 7 0.9987475275993347 262.27410888671875 435.3278503417969 429.3537902832031 584.8452758789062 5 0.9528236985206604 240.28683471679688 682.3695678710938 303.0771484375 749.9440307617188 7 0.9401799440383911 561.45654296875 336.5419616699219 707.4619750976562 596.8060302734375 5 0.9209156036376953 333.5633544921875 619.8743896484375 460.34295654296875 737.775390625 5 0.8805302381515503 335.7364196777344 638.3904418945312 401.8371887207031 724.1571044921875 6 0.8716273903846741 428.7395324707031 447.5998840332031 568.5183715820312 678.326171875 5 0.7527967095375061 435.36871337890625 534.2936401367188 566.0355224609375 670.5189819335938 5 0.5919914841651917 487.59405517578125 595.8571166992188 581.1630249023438 660.91455078125 5 0.567909300327301 328.5586242675781 561.6762084960938 448.5531311035156 627.8330688476562 2 0.4930875599384308 329.3241882324219 638.9588623046875 355.342041015625 684.6753540039062 7 0.44853685 321.95587 564.753 393.34445 621.2715 5 0.42426875 396.10822 610.9536 449.0254 682.95264 5 0.420333775 468.20493 573.8557 556.3764 660.9726 1 0.30883223 563.74475 338.7586 708.4522 591.35016 1 0.306657225 639.38885 259.4065 736.2749 342.65543 0 0.257497965 499.03366 596.254 548.5156 650.3009 7 0.24270513653755188 351.4566650390625 595.7241821289062 459.7388916015625 734.5119018554688 7 0.22237748 365.71442 564.3323 448.0145 648.4786 5 0.20901908 340.9089 674.0784 449.7817 728.85626 7 0.20138626 217.79323 275.4955 441.03046 469.26004 5 0.1807955 337.66388 555.5157 450.45636 710.5041 5 0.16856259 328.16827 638.2687 364.96204 687.4824 0 0.166549325 342.27695 642.3974 399.2479 714.2354 5 0.15189582 371.80026 610.8992 421.05325 642.8294 7 0.128836885 341.85925 640.524 402.40637 718.8552 5 0.10973078 469.54446 556.0054 558.59717 587.0549 0 0.10275518 322.7706 564.9916 393.6098 621.1283 5 0.099752975 383.58292 612.2954 456.0863 723.11774 6 0.09384702 418.4735 454.95074 548.7072 543.9167 5 0.08375495 467.61765 593.04443 498.379 651.5069 0 0.07391441 469.24637 578.1445 554.8096 647.77954 0 0.070188155 483.45966 591.7969 572.4558 665.2916 5 0.068591445 639.6213 260.29138 736.4457 342.4166 1 0.06454456 469.54446 556.0054 558.59717 587.0549 1 0.0582562425 328.5458 638.2768 362.45596 687.4748 5 0.0577426 463.9333 547.64557 562.1258 616.192 6 0.05396073 483.23853 555.4139 547.7417 580.28656 5 0.050500393 324.7195 565.01556 384.90536 620.2367 ,test/0000.jpg
5 0.9907369613647461 132.88702392578125 2.1990506649017334 496.0799560546875 274.4902648925781 6 0.9225984215736389 750.5687866210938 655.8705444335938 896.0462036132812 991.6464233398438 5 0.7734105587005615 346.4801940917969 240.1009521484375 752.0043334960938 694.9129638671875 4 0.32163195 350.4367 243.5683 750.7557 698.87604 0 0.280668675 742.1562 657.435 898.55133 993.4275 3 0.2576179 351.98776 244.43542 747.7689 700.6708 7 0.052121032 135.07793 2.92584 495.16266 273.2245 ,test/0001.jpg
1 0.9990716576576233 281.0869140625 301.1033935546875 1015.1105346679688 751.7845458984375 1 0.9974578619003296 729.3274536132812 226.1700897216797 1019.0498657226562 369.6412353515625 1 0.9845713973045349 425.7121276855469 268.6838684082031 637.3463134765625 327.5058898925781 1 0.9807738661766052 87.71490478515625 273.8705139160156 382.03948974609375 601.812255859375 4 0.9218204021453857 870.9085083007812 241.3945770263672 911.73388671875 325.7787170410156 1 0.8885672092437744 678.91845703125 229.44082641601562 856.6771850585938 324.337646484375 1 0.8233761787414551 776.6156005859375 452.7589111328125 1023.4573364257812 1024.0 0 0.4814384877681732 95.6725082397461 281.6045227050781 345.5224914550781 599.46337890625 1 0.4636211395263672 754.201416015625 233.87843322753906 943.8761596679688 330.9389953613281 0 0.416 352.21054 327.5896 987.56976 374.0053 0 0.38788995 774.49896 441.24564 1023.69135 1023.3911 1 0.3153091073036194 6.6171650886535645 239.30972290039062 133.92459106445312 292.97344970703125 1 0.2928858697414398 4.221480846405029 235.668701171875 139.04409790039062 473.1278076171875 2 0.28504312 677.808 230.87291 790.66907 325.49814 7 0.256328435 761.5062 226.86493 861.57623 239.74461 3 0.21519612 2.9942286 238.02734 138.82352 476.05157 5 0.1911873 677.1768 230.00426 800.67896 326.16125 6 0.11919113 285.16318 305.38794 1015.5066 759.6566 0 0.0962387 883.24866 468.71173 1014.0924 634.2545 0 0.085522445 156.0416 313.01962 241.10742 582.12714 1 0.0854388 870.81335 240.81578 911.4587 326.3412 1 0.07985373 963.00366 227.31635 1023.9246 376.1159 0 0.0788251 312.8 321.99878 995.0393 434.4501 5 0.064698445 869.8133 241.67043 911.508 324.69568 0 0.057159095 2.6432178 234.76495 140.70416 474.88513 7 0.050964945 2.6306543 236.52658 140.21805 476.9971 ,test/0002.jpg
9 0.9993027448654175 172.00531005859375 254.2420654296875 910.0657958984375 819.5531005859375 9 0.9802826642990112 21.811002731323242 30.300758361816406 1001.3963623046875 1013.2996215820312 9 0.6806420683860779 8.022933959960938 0.0 999.3761596679688 493.2724914550781 9 0.247462035 69.253006 563.06616 972.7014 1024.0 9 0.20073062 30.578497 71.63528 537.9203 1003.5425 0 0.096912675 0.0 0.0 995.64594 482.3046 ,test/0003.jpg
1 0.9992303848266602 199.94436645507812 267.096923828125 856.669921875 779.1705322265625 0 0.9874686598777771 460.4255676269531 402.8104248046875 647.6707153320312 547.0550537109375 1 0.17642696 461.1509 402.0412 651.66254 542.6446 ,test/0004.jpg
2 0.9999955296516418 346.4895935058594 220.61170959472656 771.2697143554688 713.4369506835938 0 0.064015545 331.12936 845.149 399.72116 883.3326 ,test/0005.jpg
5 0.9992035031318665 360.3538818359375 451.2458801269531 832.9381713867188 725.9292602539062 7 0.9958547949790955 271.0906982421875 12.372824668884277 419.5563049316406 180.57723999023438 0 0.9958146214485168 897.31494140625 786.0245361328125 1021.9542236328125 917.6660766601562 0 0.8287510275840759 601.9295043945312 0.2258589267730713 699.7904052734375 84.76426696777344 5 0.6459563374519348 0.25574207305908203 70.47193908691406 70.05558776855469 224.816650390625 4 0.49983485 428.37277 14.771855 636.9176 268.31116 0 0.49182877 0.0 807.03546 86.422424 942.2991 3 0.475228875 0.0 67.990486 68.95831 224.6667 0 0.211394115 184.3722 559.50006 314.63864 876.738 0 0.092584675 211.87271 547.23694 280.0012 707.5032 ,test/0006.jpg
1 0.9995446801185608 880.8658447265625 890.4956665039062 1023.9486694335938 1024.0 1 0.9949324131011963 205.78623962402344 884.0225219726562 623.3202514648438 1023.7713012695312 7 0.8153141736984253 0.20441363751888275 865.7908325195312 22.771934509277344 1024.0 1 0.8040508031845093 96.33956909179688 86.82328796386719 946.9668579101562 913.69580078125 9 0.7249892354011536 264.88507080078125 70.18630981445312 978.6558227539062 743.1958618164062 0 0.40513897 342.23453 51.233437 973.6164 708.26807 0 0.21560455 67.400505 106.89761 938.1119 919.0414 5 0.1766817 330.28125 64.400604 969.4695 710.88385 0 0.08128319 5.3305273 501.90958 348.49304 1022.6984 7 0.05911711 330.28125 64.400604 969.4695 710.88385 ,test/0007.jpg
7 0.9999768733978271 3.6201210021972656 601.83251953125 181.37905883789062 878.1751708984375 7 0.9999680519104004 166.48922729492188 532.1807250976562 474.11468505859375 965.5178833007812 7 0.9999462366104126 403.4723205566406 472.636474609375 695.7789306640625 874.84228515625 1 0.999438464641571 645.210205078125 637.1915283203125 722.857421875 759.3442993164062 7 0.9984717965126038 3.174436330795288 363.2094421386719 271.9178771972656 645.7626953125 7 0.9976552724838257 220.645263671875 490.24688720703125 331.096435546875 565.0222778320312 7 0.9973964691162109 529.410400390625 426.947998046875 713.626953125 636.2452392578125 0 0.9959695339202881 104.99777221679688 901.6497192382812 169.13531494140625 972.1495971679688 7 0.9625601768493652 359.1843566894531 496.7373046875 469.49774169921875 693.9515991210938 7 0.9597561359405518 678.6643676757812 529.4072875976562 791.3199462890625 698.8369140625 1 0.8904498815536499 153.1822509765625 576.1389770507812 194.6807403564453 667.0783081054688 6 0.8744179010391235 779.4444580078125 278.985595703125 978.9963989257812 618.8985595703125 7 0.5703497529029846 352.2557373046875 120.3946304321289 417.7596740722656 223.4244384765625 1 0.560935378074646 358.4929504394531 496.8454284667969 468.4380798339844 671.816650390625 5 0.5087774395942688 779.6723022460938 278.0947570800781 979.6653442382812 618.8507690429688 5 0.5018866062164307 676.77587890625 514.8906860351562 798.77001953125 697.5442504882812 7 0.440585375 664.6124 449.575 814.9166 625.2141 6 0.4103299081325531 652.5079345703125 450.2364501953125 813.1793823242188 619.2667846679688 0 0.30812845 354.0831 119.253845 418.81473 225.4797 1 0.239402815 362.56598 0.015498047 418.09106 87.3479 3 0.13166967 602.10345 346.27832 736.11163 469.6009 2 0.11988411 152.83711 580.29083 195.22519 666.7095 5 0.09243389 603.027 345.8778 735.8114 469.726 5 0.06316919 649.5349 449.756 814.12146 617.8995 ,test/0008.jpg
0 0.999480664730072 285.28582763671875 114.58406066894531 664.3167724609375 982.3339233398438 ,test/0009.jpg
4 0.9999561309814453 194.30702209472656 320.1509094238281 651.6396484375 473.8908386230469 7 0.6474736332893372 15.14526653289795 848.8570556640625 496.5978698730469 1021.3033447265625 4 0.49745975 108.037346 599.1062 454.19165 722.64056 3 0.4742234 65.09367 596.40216 461.86337 720.03656 0 0.351763575 47.43285 707.3608 344.37997 836.8008 7 0.35078192 1.4458008 646.0661 394.1918 1021.3755 7 0.29986018 187.26665 859.5682 425.7567 1022.6893 7 0.24756898 6.030635 863.783 287.8663 1021.2363 1 0.085797085 49.080967 709.43445 343.0988 836.4177 0 0.071760135 0.8638281 629.05237 412.79016 1022.5105 ,test/0010.jpg
5 0.9999021291732788 810.3797607421875 261.97857666015625 1000.1616821289062 403.48583984375 5 0.9992325901985168 672.3433837890625 412.55560302734375 886.798828125 571.9796142578125 5 0.9982004165649414 482.6217956542969 336.0596008300781 1013.7576293945312 725.700439453125 5 0.9964109063148499 615.3567504882812 286.54620361328125 770.7054443359375 452.08233642578125 5 0.9954227209091187 470.2977600097656 115.15184783935547 777.312744140625 332.84332275390625 6 0.9945294857025146 8.22241497039795 146.1541290283203 545.7454833984375 747.4190673828125 5 0.9400776028633118 20.407777786254883 585.5926513671875 777.1744995117188 1019.322265625 5 0.9209036231040955 76.47290802001953 642.7545166015625 618.4039916992188 801.349853515625 5 0.9156829118728638 705.1908569335938 313.0369873046875 917.6526489257812 466.9753723144531 5 0.8608972430229187 0.0 739.6250610351562 39.34782791137695 933.0501098632812 5 0.8108233213424683 544.6500854492188 693.5426635742188 976.4989013671875 1022.7948608398438 5 0.49762105 903.53186 410.88196 1023.3005 633.12634 5 0.46771833300590515 561.6466064453125 842.6619262695312 896.3863525390625 1019.298095703125 5 0.4024654030799866 604.2511596679688 245.93092346191406 773.3682861328125 331.3798522949219 2 0.3751808 713.3446 311.31778 915.7687 456.51816 1 0.335336625 600.6835 253.20831 769.9916 331.90375 5 0.27497765 15.950879 147.54889 542.0836 760.99994 0 0.26138365 0.0 484.46332 152.4297 772.1614 0 0.21130335330963135 614.3306274414062 250.2027587890625 771.3541259765625 330.9118347167969 5 0.20855934917926788 59.100284576416016 492.40869140625 718.9265747070312 818.8093872070312 5 0.172112585 11.543282 134.42387 960.6329 823.84186 0 0.1498123 36.633556 570.18634 850.09174 1016.42224 7 0.143586 2.2681713 526.26984 77.27339 771.7009 5 0.140757 504.84164 844.12897 641.8714 1022.12964 5 0.13900459 248.25522 500.4721 589.5285 673.1847 0 0.121459285 12.296875 142.12572 550.6829 729.86584 7 0.108149355 475.49652 251.93825 538.1565 354.8602 0 0.100317135 32.21994 489.53134 598.07556 805.5469 1 0.09254135 334.9321 498.2441 444.9636 562.9563 7 0.07653284 466.13956 115.12555 782.5062 335.494 7 0.068084965 333.49567 498.50613 442.03317 563.5642 3 0.051806938 699.46 314.30017 921.59644 471.0728 2 0.051401555 334.9321 498.2441 444.9636 562.9563 ,test/0011.jpg
0 0.9092058539390564 282.1490478515625 412.8727722167969 551.9578857421875 795.7158203125 7 0.5091160535812378 286.42333984375 409.6589660644531 550.0607299804688 799.8882446289062 1 0.078472725 279.3263 408.86703 554.19604 796.17865 ,test/0012.jpg
1 0.9999093413352966 216.65675354003906 468.5903015136719 536.9436645507812 808.7486572265625 1 0.9995402097702026 286.4164123535156 309.7489013671875 866.465576171875 649.4554443359375 1 0.9483880996704102 182.23275756835938 373.1977233886719 489.4232177734375 503.5484924316406 1 0.3516752 198.83752 472.40958 477.30103 497.28403 1 0.102721885 190.38757 362.54645 493.0946 699.19763 1 0.0664323 396.018 496.1075 473.41403 619.6863 0 0.066055345 163.52779 506.5641 221.81036 532.12396 ,test/0013.jpg
7 0.9999892711639404 2.9890897274017334 261.752197265625 838.845458984375 877.7160034179688 7 0.999876856803894 8.30115032196045 126.6440200805664 442.44464111328125 367.44122314453125 5 0.38700785 235.89862 240.96567 275.30847 282.0743 7 0.3128413 0.0 264.4651 131.23944 345.35022 5 0.28123185 230.71785 174.07295 378.19638 283.96033 7 0.22689174 327.22168 213.36008 440.85364 313.1298 0 0.079706 0.8935498 264.83072 132.35904 345.81058 3 0.068291815 237.36899 242.2766 276.18387 282.05164 ,test/0014.jpg
7 0.9999956488609314 288.00152587890625 225.37950134277344 783.8455810546875 807.4385986328125 7 0.81509929895401 160.52862548828125 800.3912353515625 272.4704284667969 868.6464233398438 0 0.2901805 158.04158 798.7102 267.72397 872.73865 5 0.14025913 322.31067 399.4967 454.12894 532.22034 ,test/0015.jpg
2 0.9999743103981018 299.3002014160156 381.1701965332031 700.5007934570312 756.2548828125 0 0.9983431696891785 27.439367294311523 65.78894805908203 388.24993896484375 245.77593994140625 5 0.1847453 836.22205 154.06621 1024.0 315.55386 ,test/0016.jpg
5 0.7656159400939941 76.51604461669922 75.73114776611328 934.3875122070312 883.0689697265625 1 0.29103726148605347 76.3528823852539 77.1108169555664 943.4157104492188 882.0787963867188 0 0.2364431 92.40273 76.589806 943.8608 883.9558 ,test/0017.jpg
0 0.999606728553772 615.538818359375 357.883544921875 765.928955078125 497.7733154296875 6 0.9904781579971313 149.67124938964844 142.5289306640625 967.0638427734375 823.0172729492188 0 0.9786554574966431 450.6054992675781 399.16748046875 727.4876708984375 650.7581176757812 0 0.9163099527359009 219.71766662597656 190.61160278320312 633.7326049804688 391.6160583496094 0 0.5713065266609192 622.7140502929688 528.1395874023438 950.6817016601562 781.4437866210938 0 0.4386957585811615 154.46160888671875 143.68899536132812 968.5701904296875 830.24951171875 0 0.17835025 301.58533 388.76636 956.9162 781.1475 0 0.137690515 304.9336 245.15813 523.0126 345.81433 0 0.0814485 556.5422 168.05707 617.1044 230.68195 ,test/0018.jpg
