PredictionString,image_id
7 0.999933660030365 215.1313018798828 46.45829391479492 455.64886474609375 481.68231201171875 7 0.9998446106910706 121.61432647705078 416.2294921875 329.85162353515625 724.180908203125 7 0.9997906684875488 604.8580322265625 515.9779663085938 949.7240600585938 1022.6322021484375 7 0.9996247291564941 391.244384765625 187.16294860839844 603.4727783203125 544.3363647460938 7 0.998896062374115 640.7860107421875 333.8504333496094 880.5323486328125 633.3670043945312 1 0.998123288154602 552.586181640625 113.25675201416016 752.7072143554688 359.0648193359375 7 0.9977350234985352 552.9103393554688 341.0517272949219 712.5232543945312 603.7198486328125 7 0.997641384601593 450.1126403808594 596.3895874023438 645.08154296875 876.2225952148438 7 0.9924952387809753 258.5746765136719 444.1510009765625 427.5751953125 597.9085083007812 6 0.9644506573677063 428.7994384765625 462.73992919921875 565.2377319335938 667.0994262695312 5 0.910975456237793 245.02841186523438 682.9439086914062 301.3017578125 748.9757690429688 5 0.893920361995697 339.7422790527344 639.2523803710938 396.39068603515625 720.7117919921875 5 0.8818826675415039 394.3507385253906 621.4547729492188 450.009765625 691.0125732421875 7 0.3993280827999115 242.40884399414062 409.2686462402344 323.1618957519531 466.1140441894531 6 0.38301268 245.30153 681.7086 302.47668 747.3264 5 0.3465266 336.96216 628.06793 450.15704 728.4875 2 0.3427508473396301 638.9857788085938 256.3357849121094 742.6415405273438 342.0772399902344 6 0.25632336735725403 418.0577697753906 464.246826171875 551.3344116210938 555.6275634765625 4 0.246886535 335.62567 640.54877 397.91418 722.88666 0 0.23564163 499.14587 597.7394 548.3113 639.5586 5 0.23383659 363.4092 684.8147 424.72012 722.1 7 0.22203134 541.70807 187.22925 576.03143 243.28824 7 0.21758406 144.25566 426.89856 193.65166 448.37018 5 0.1838142 497.98428 600.20483 583.3462 653.1084 5 0.1830010712146759 326.487548828125 568.977294921875 380.68524169921875 619.3687744140625 1 0.17562192678451538 636.8378295898438 254.55120849609375 749.8611450195312 344.6755065917969 7 0.15327446162700653 488.9217834472656 590.6876831054688 554.904541015625 648.564697265625 5 0.15226315 638.9045 255.09055 751.8765 345.82498 0 0.14640996 440.20105 474.7529 545.9437 528.2696 5 0.128297435 389.94772 680.47595 425.0646 719.14795 2 0.1239496 328.6478 639.5145 366.55472 683.3699 1 0.12078747 390.321 680.47437 424.48703 719.78894 0 0.11809676 485.16284 586.656 557.1123 648.5228 0 0.11538592 480.81934 614.91626 510.54425 657.98645 5 0.1146445 472.84354 595.66266 591.8907 673.30316 1 0.100515955 646.3417 186.29271 691.2488 248.65971 0 0.09024345 472.84354 595.66266 591.8907 673.30316 5 0.087807835 478.0578 582.9193 564.71564 651.6616 7 0.0873394 472.79666 556.6112 560.9834 645.64417 4 0.071022875 479.62918 613.1551 509.0447 660.96954 4 0.06872314 486.59384 599.1349 586.5464 656.9203 5 0.06351964 326.006 656.3466 472.92642 747.11945 2 0.060475685 395.1058 616.8574 449.09622 691.8008 4 0.0571395 468.5662 589.7711 570.6605 679.64844 7 0.057003905 471.61288 583.5371 579.99585 670.10876 0 0.05602736 496.77432 601.4054 585.2056 652.1741 5 0.050913605 545.1365 470.3578 556.29956 546.3892 5 0.050831225 358.47955 668.97095 446.20178 724.62476 6 0.050178118 328.6046 637.948 355.56335 682.52185 ,test/0000.jpg
5 0.992569088935852 126.98570251464844 1.643646240234375 500.21435546875 274.69305419921875 6 0.9840506315231323 760.6512451171875 659.1424560546875 897.2784423828125 991.4898071289062 4 0.8382160067558289 339.7738952636719 241.8880615234375 758.172119140625 693.1475830078125 5 0.5875310897827148 339.03607177734375 244.4434814453125 753.6636352539062 694.2954711914062 4 0.09341911 127.347916 2.5261993 496.53345 277.91663 2 0.08980898 342.21024 245.78592 757.43005 693.9989 3 0.08019493 343.75983 248.6851 757.56024 694.4942 0 0.070562365 760.0441 658.26135 897.6265 991.00793 1 0.055452753 343.26926 248.53178 756.54785 693.56573 ,test/0001.jpg
4 0.9967203140258789 869.430908203125 243.5747833251953 914.4242553710938 324.8521728515625 1 0.9923023581504822 290.61639404296875 314.3354187011719 1019.3743896484375 742.9473266601562 1 0.98102205991745 416.9884338378906 270.55621337890625 639.672119140625 335.1182861328125 1 0.9354075789451599 781.0364990234375 394.9966125488281 1023.4874877929688 1023.9999389648438 0 0.7923396229743958 875.2232666015625 462.7491760253906 1019.349853515625 621.420654296875 1 0.7278211116790771 81.61656951904297 277.439697265625 415.48846435546875 598.5739135742188 1 0.6902919411659241 671.82470703125 228.33970642089844 1022.4539184570312 332.2611083984375 0 0.6314569711685181 79.70955657958984 279.3994445800781 434.166015625 601.1409301757812 1 0.5946621298789978 676.648193359375 228.5202178955078 794.7735595703125 325.22235107421875 0 0.5857065320014954 289.9052429199219 333.1899719238281 1024.0 373.78631591796875 4 0.49222755432128906 990.6267700195312 304.08392333984375 1023.2070922851562 392.9525146484375 0 0.4908732771873474 0.2940019965171814 237.36280822753906 153.1190185546875 461.3656921386719 0 0.46839839220046997 331.90771484375 335.43829345703125 1004.0672607421875 443.211181640625 3 0.43275967240333557 0.28064876794815063 236.7989959716797 146.21795654296875 462.5063171386719 0 0.38621068 116.925255 297.99274 262.65372 601.09937 0 0.34608078 790.9741 446.47205 1022.11633 655.0491 5 0.3365835 680.7315 229.86264 767.8134 324.37143 4 0.3282675 1001.089 307.18423 1024.0 333.999 0 0.2964002788066864 784.3323974609375 406.2220153808594 1022.8980102539062 1024.0 4 0.2101677 1006.50934 306.2737 1024.0 395.4708 1 0.18506634 763.52026 230.28659 927.2991 326.51175 2 0.178694515 677.64923 229.24007 786.8558 323.16296 5 0.16454573 0.0 234.1937 146.40547 470.83273 4 0.15456411 0.0 234.52069 145.23163 468.5796 0 0.12140925 257.07224 270.91742 359.63626 596.48285 5 0.117258325 768.029 230.89499 924.1485 326.3013 4 0.10692273 770.73047 230.76167 922.48 326.47534 1 0.094406165 987.7112 299.7452 1023.50525 394.0352 0 0.09106255 91.85576 373.87 288.9389 514.7059 3 0.09011475 678.4353 229.97946 780.3989 323.4584 5 0.08623234 1003.011 306.74146 1024.0 334.3238 0 0.08377633 761.8065 230.2242 929.31494 326.5967 0 0.07846979 88.371475 350.05072 255.58305 467.60217 0 0.074513925 300.71567 306.66125 404.30167 563.54816 1 0.0723211 311.05142 319.28323 1017.6676 448.83707 1 0.07142374 650.3395 230.84393 1015.5261 787.0427 5 0.070621185 991.5107 305.2046 1022.19086 391.11603 5 0.0684569 668.14954 227.99051 995.2665 330.8223 0 0.067723335 646.3291 290.52216 979.71265 742.8327 0 0.064350135 803.12054 308.12878 1013.5472 615.0884 0 0.0558609925 677.1683 228.71602 796.39703 326.0382 7 0.054413595 770.7488 227.89526 868.77295 237.23248 ,test/0002.jpg
9 0.999847948551178 157.40472412109375 265.7961120605469 908.8278198242188 817.5577392578125 9 0.6909914016723633 7.578734874725342 31.968095779418945 985.7715454101562 467.5865783691406 9 0.5913566946983337 73.5892562866211 631.1222534179688 1024.0 1023.3319091796875 9 0.2000744789838791 41.459800720214844 29.379243850708008 982.9412231445312 880.612548828125 9 0.15656785666942596 0.0 23.41636085510254 449.8988342285156 1003.3536987304688 ,test/0003.jpg
0 0.9847856163978577 449.0400390625 410.4762268066406 653.9618530273438 552.3876953125 1 0.9414677023887634 215.90101623535156 269.7389221191406 862.3005981445312 774.5891723632812 0 0.4685126543045044 421.9446716308594 262.5574645996094 674.1929931640625 586.2259521484375 0 0.39340710639953613 248.0602569580078 340.39007568359375 861.159912109375 774.807861328125 1 0.38083385 194.85712 408.75812 539.75885 664.52606 0 0.15519465 196.9845 262.4504 745.04175 672.48035 0 0.06622461 360.9787 408.44193 850.82245 614.02966 ,test/0004.jpg
2 0.9997991919517517 349.7891845703125 234.71963500976562 779.8480834960938 711.2785034179688 ,test/0005.jpg
0 0.9047296643257141 897.7044067382812 788.2034912109375 1022.519287109375 916.0667724609375 5 0.8879795074462891 0.0 60.90160369873047 69.73137664794922 221.82115173339844 4 0.5469056963920593 345.6482849121094 453.2165222167969 844.7557373046875 722.0241088867188 4 0.499640375 426.89532 21.023308 659.79205 268.15173 5 0.4988451 356.1466 456.29504 841.2031 720.3373 7 0.496819 280.54883 11.516502 407.27087 180.29327 0 0.41806445 600.9333 0.0 701.8746 85.747406 0 0.37879365 196.34415 545.2594 275.7889 694.8634 5 0.35160038 51.297997 372.85608 230.18408 758.07275 5 0.347085625 190.34332 649.82074 318.19604 874.8725 4 0.327935725 41.448166 378.50827 238.94264 752.61 7 0.23029357 0.0 52.515335 70.835205 222.31148 0 0.22641071677207947 304.46661376953125 657.7857666015625 376.8946838378906 747.4386596679688 0 0.178489285 190.47461 650.6472 318.59076 874.64453 4 0.1200167 181.33423 373.92224 478.66473 693.84607 4 0.087925845 190.86014 649.96014 318.0643 874.99567 0 0.085660615 0.6507149 807.50916 87.598495 941.0045 ,test/0006.jpg
1 0.9747647047042847 885.6836547851562 894.158447265625 1021.4014892578125 1023.2034301757812 9 0.920927882194519 289.0678405761719 73.61837005615234 995.0017700195312 735.5128784179688 1 0.8712156414985657 189.9197998046875 894.0946044921875 631.3700561523438 1022.1084594726562 1 0.7010112404823303 98.74331665039062 75.781005859375 991.1861572265625 920.3320922851562 1 0.6161055564880371 213.08526611328125 894.2261352539062 379.3779296875 1024.0 9 0.5717228651046753 570.9434814453125 489.917236328125 896.2326049804688 733.1122436523438 1 0.48479143 0.0 869.93256 24.413662 1023.0789 1 0.4412568509578705 354.9922790527344 895.4105834960938 531.767333984375 1024.0 7 0.41348967 0.0 865.1532 26.156643 1024.0 9 0.25065458 993.60284 938.01 1023.89325 1024.0 9 0.22202 295.4342 516.7646 439.00848 671.34344 0 0.21744532883167267 570.8739013671875 489.2060546875 896.6107788085938 734.1511840820312 0 0.20485177636146545 227.24029541015625 73.44697570800781 994.8906860351562 789.2216186523438 0 0.161886215 401.51965 493.4705 1020.02356 1024.0 1 0.157929675 401.01923 896.048 619.06104 1021.99133 1 0.15709716081619263 134.95484924316406 462.7183532714844 907.7297973632812 905.4569702148438 1 0.133597775 17.849106 877.75055 29.749607 1017.2039 0 0.065251015 0.0 567.08167 584.30725 1024.0 0 0.0606691875 210.45602 717.1523 983.7676 1020.2922 0 0.05554195 215.92186 474.68506 255.02531 685.04224 0 0.05307835 325.48404 108.247604 876.9154 257.4124 7 0.050435255 215.92186 474.68506 255.02531 685.04224 ,test/0007.jpg
7 0.999904215335846 162.27005004882812 522.0817260742188 461.26043701171875 964.7141723632812 7 0.9997853636741638 398.8876953125 452.99761962890625 694.9746704101562 878.736083984375 7 0.9995959401130676 1.6718146800994873 612.7998046875 176.6543426513672 871.93896484375 7 0.9978501796722412 677.77099609375 530.568115234375 785.0361328125 696.5203857421875 7 0.995389461517334 4.6974077224731445 361.2672424316406 280.7221984863281 652.9315185546875 6 0.9648907780647278 777.0068969726562 278.69537353515625 976.5062255859375 619.0804443359375 7 0.9611822962760925 0.0 524.1632690429688 49.095252990722656 691.0413208007812 7 0.955479621887207 231.83226013183594 492.14306640625 336.6527404785156 556.0054321289062 1 0.9364117383956909 645.5238647460938 640.9437255859375 720.6549072265625 764.9509887695312 0 0.879311740398407 103.33216094970703 905.391357421875 168.18417358398438 971.2586669921875 7 0.8039726614952087 530.7010498046875 429.89312744140625 729.3690795898438 638.8175048828125 1 0.7734313607215881 360.8855895996094 495.1395568847656 440.10009765625 587.514892578125 7 0.649429440498352 360.6871032714844 497.81719970703125 454.5108642578125 712.86767578125 7 0.5340809226036072 352.5454406738281 124.4227294921875 420.19573974609375 222.5440216064453 7 0.467477947473526 665.254150390625 450.75958251953125 811.0462036132812 644.84033203125 0 0.43675575 360.15887 0.48648834 417.54645 90.50787 5 0.40908265 260.0802 565.6566 301.63458 690.6998 3 0.39175042510032654 664.6516723632812 451.3608093261719 811.8106079101562 628.1325073242188 0 0.336699 665.05237 452.09076 813.15344 619.4207 5 0.310282438993454 153.09735107421875 568.9977416992188 214.27102661132812 670.8479614257812 7 0.295223385 360.99512 496.09894 444.05432 588.6325 1 0.2757502 103.14589 902.35364 169.35234 971.8014 5 0.16305834 599.7399 345.9721 735.32526 467.52783 5 0.11238919 778.1108 279.1383 973.4329 618.211 5 0.06417735 220.92444 557.1648 303.80353 693.46106 ,test/0008.jpg
0 0.9841780066490173 294.3907165527344 112.50396728515625 656.9034423828125 985.60888671875 9 0.11258588 299.75763 106.09335 657.17285 984.343 ,test/0009.jpg
