PredictionString,image_id
7 0.9994902014732361 216.46070861816406 55.82883834838867 457.60125732421875 475.8092041015625 7 0.9992694854736328 118.546142578125 424.723876953125 330.68408203125 722.717529296875 7 0.9992673397064209 604.4525146484375 516.030517578125 955.4077758789062 1017.0120849609375 7 0.9986412525177002 639.5646362304688 325.08837890625 877.8955688476562 606.7612915039062 7 0.9982128739356995 447.518310546875 596.0487060546875 644.792236328125 874.9529418945312 7 0.9981599450111389 394.6419982910156 191.19754028320312 597.9078979492188 544.1146240234375 7 0.9961495995521545 562.676513671875 338.5594177246094 709.0374145507812 600.8992309570312 7 0.9927700757980347 264.4071044921875 439.34478759765625 432.342529296875 584.61181640625 1 0.9896018505096436 566.430419921875 107.275146484375 758.5443115234375 358.13482666015625 5 0.9884223937988281 342.0468444824219 640.7360229492188 395.42333984375 723.6528930664062 5 0.8194734454154968 393.8989562988281 617.2432250976562 450.104736328125 688.8837280273438 5 0.8054206371307373 383.8276062011719 682.91650390625 426.6566467285156 722.0697021484375 5 0.6511195302009583 244.62289428710938 682.338134765625 300.22119140625 748.134033203125 7 0.5790771842002869 322.80206298828125 568.5641479492188 382.3951416015625 618.9176025390625 1 0.530641496181488 631.568115234375 174.81072998046875 736.7345581054688 325.09918212890625 6 0.452453675 429.84058 470.5923 562.0675 672.9236 6 0.40236735 248.06448 683.88104 300.47733 747.08014 5 0.38788505 340.46423 682.2528 430.93365 726.7544 1 0.343975692987442 676.2178344726562 261.3819274902344 729.7011108398438 315.502197265625 1 0.3331666886806488 245.48678588867188 410.08734130859375 308.3616638183594 474.54156494140625 5 0.32210689783096313 430.93719482421875 468.587646484375 567.7442626953125 679.9334716796875 5 0.31625768542289734 346.767822265625 688.7972412109375 394.13616943359375 724.2013549804688 5 0.31113699078559875 326.9042053222656 638.3921508789062 351.8495178222656 683.2296142578125 5 0.28091317415237427 333.0890197753906 556.2398681640625 466.25262451171875 729.929931640625 7 0.25994598865509033 540.9112548828125 182.5819549560547 575.7827758789062 242.08982849121094 5 0.25388038 330.06873 663.328 460.8778 737.4055 5 0.220059425 215.63847 693.6247 249.12291 730.4216 6 0.182330565 326.47284 639.2618 354.15045 682.5251 1 0.15986725687980652 647.1427001953125 261.93212890625 737.9180908203125 340.7320556640625 1 0.151475565 432.8493 477.97058 563.3153 671.2313 1 0.1396724 577.5292 192.4921 710.00366 353.45444 0 0.12105454 479.333 599.0543 570.3203 655.66223 0 0.106726965 481.29605 598.8972 510.08737 655.96436 4 0.10313148 467.27197 545.56494 563.7943 617.0321 1 0.0996889 484.10986 597.07196 556.63586 650.6059 5 0.09864316 383.82672 644.5876 460.41156 727.19037 5 0.09340007 476.46722 596.28784 584.793 659.1821 3 0.083928095 432.88153 478.66098 568.54407 676.32556 0 0.08215051 319.4267 676.6799 346.0327 746.2515 0 0.081674145 467.67926 546.2759 559.5046 613.13586 5 0.08059264 322.85406 569.3904 381.6701 618.1953 1 0.078778 326.81686 638.7396 350.8434 682.8729 5 0.076377085 358.24194 561.1816 432.86078 631.5334 5 0.072935895 344.83322 642.34955 391.4484 684.4965 7 0.070639065 314.75818 543.2942 479.24152 742.7339 5 0.06291701 335.60123 567.1829 414.70718 621.4395 1 0.060320437 614.44885 227.23251 766.96826 359.34598 1 0.0596718825 540.52466 183.12692 574.204 238.8056 5 0.057182763 396.17444 659.31244 444.8896 687.3454 7 0.05622918 147.21295 424.68405 208.7623 450.81046 1 0.05346642 450.99088 530.5423 565.13654 625.3328 5 0.052811575 470.5042 548.14417 562.148 616.95825 ,test/0000.jpg
5 0.9538910984992981 138.56228637695312 0.6219433546066284 493.63226318359375 274.9707946777344 5 0.7894779443740845 345.6121520996094 248.48655700683594 754.4149780273438 689.7342529296875 4 0.5030372142791748 349.03509521484375 243.11505126953125 749.4132690429688 697.1013793945312 6 0.492147685 764.18677 639.04364 894.2571 996.7045 3 0.28410122 350.15985 251.84242 756.37994 691.2556 0 0.27490592 756.69385 654.863 896.53894 995.3206 0 0.26033488 642.8546 644.22723 685.7726 835.1486 0 0.156485735 131.0434 0.82962036 489.24005 279.162 4 0.15012571 141.46086 0.0 504.66284 271.48593 ,test/0001.jpg
1 0.9889256358146667 426.61773681640625 269.29302978515625 644.5338134765625 326.7867736816406 1 0.9850413203239441 289.7622375488281 335.8793640136719 1005.7799072265625 745.6482543945312 4 0.9743014574050903 866.398681640625 243.5389404296875 913.3990478515625 324.0992736816406 1 0.9310778975486755 775.69580078125 436.52044677734375 1022.0302124023438 1021.2708129882812 1 0.8506848216056824 83.87784576416016 276.3209228515625 422.4392395019531 605.5702514648438 4 0.7341542840003967 993.3274536132812 303.39849853515625 1023.2166748046875 391.30340576171875 0 0.6066195964813232 117.11572265625 296.94952392578125 285.9239196777344 588.9427490234375 0 0.5899105072021484 659.0057373046875 288.9289245605469 735.12744140625 323.248779296875 1 0.5871080756187439 675.2232666015625 230.59341430664062 1016.5416870117188 350.3202819824219 0 0.5531606078147888 872.9149780273438 467.6141052246094 1019.6299438476562 630.1839599609375 1 0.5446757078170776 689.4900512695312 227.1016387939453 896.9357299804688 326.12652587890625 1 0.5023738145828247 0.2860254645347595 234.4922637939453 168.3252410888672 492.27490234375 0 0.4285050630569458 327.0533752441406 327.1177978515625 1006.923828125 396.6416320800781 3 0.397381785 678.20514 230.2711 757.9039 323.17163 5 0.36153115 993.0587 303.2886 1022.69446 388.21176 1 0.3530493974685669 331.3988342285156 313.7624206542969 1016.3955078125 380.8545837402344 1 0.349893125 430.25708 513.7061 793.7826 666.7061 5 0.3478209972381592 0.11432424187660217 229.54330444335938 149.41372680664062 492.8945007324219 0 0.31007152795791626 76.7068862915039 273.92242431640625 413.8587646484375 593.7684326171875 1 0.28553125 388.64996 400.24854 790.30035 739.44507 0 0.28275397419929504 779.803955078125 406.4150390625 1021.319580078125 1006.3001708984375 0 0.2744119167327881 0.6420184969902039 230.96542358398438 171.46539306640625 487.6373291015625 0 0.27377955 791.57733 445.25418 1016.8942 742.78906 0 0.25512898 427.9819 268.93436 644.60657 326.5748 0 0.2542252242565155 90.71228790283203 287.4029541015625 423.3106689453125 435.5028381347656 3 0.24284997582435608 0.24134138226509094 236.61697387695312 150.93739318847656 489.74298095703125 0 0.21378696 266.73975 278.28244 308.524 427.4739 0 0.20203489 460.8191 502.34265 784.3656 658.7052 5 0.19350712 675.0228 231.52234 760.4082 323.83838 1 0.18915043771266937 411.8779602050781 248.40182495117188 1011.770263671875 376.7687683105469 0 0.15315604209899902 347.6291809082031 406.7999267578125 951.21240234375 689.0601806640625 4 0.136100425 1000.53424 306.5807 1024.0 336.33142 1 0.12204376 674.7373 232.1546 778.53467 322.653 0 0.12022844 347.28812 337.3662 653.64905 367.07202 6 0.1119001 320.22522 325.7723 1024.0 407.40878 2 0.10516636 778.74066 433.91043 1023.1724 1015.31384 0 0.092044415 359.56146 310.61108 1021.6087 575.68665 2 0.09203931 0.0 232.64809 169.45837 488.91064 0 0.087245455 766.63086 226.79633 869.44165 238.72766 1 0.08599644 176.17001 255.29518 1024.0 441.93616 0 0.07627737 629.8887 343.9428 983.99646 370.0813 6 0.072866215 282.20944 296.24982 1020.14685 597.37177 1 0.0597168 659.6842 288.56192 735.0477 322.95676 2 0.052180055 677.8953 231.93549 760.35345 321.18878 1 0.0514272 283.60394 283.52905 1023.9637 557.2073 0 0.05049696 672.1957 226.95374 876.6299 321.12207 ,test/0002.jpg
9 0.9949071407318115 121.17601776123047 252.96664428710938 918.1204833984375 816.875 9 0.4538975656032562 81.95008087158203 751.4251098632812 1001.4391479492188 1022.4677734375 9 0.4490591585636139 45.79139709472656 0.0 998.5845947265625 390.3180236816406 9 0.39662203192710876 2.9328548908233643 82.59659576416016 305.8335876464844 926.2075805664062 9 0.113633635 0.0 304.91388 191.59038 859.38495 9 0.09243615 90.326294 164.28671 527.88666 827.83167 0 0.060198145 0.0 0.0 1002.8572 764.2052 9 0.0561191 81.1817 57.256317 968.3143 664.80566 ,test/0003.jpg
0 0.8797389268875122 424.98297119140625 407.0287780761719 653.471435546875 571.3307495117188 0 0.75862056016922 174.66233825683594 281.46484375 879.8277587890625 764.038330078125 0 0.5097131729125977 393.0956115722656 271.2297058105469 671.96826171875 589.195556640625 1 0.4961778521537781 188.37579345703125 306.8424377441406 877.3678588867188 772.2044067382812 0 0.18820080161094666 338.4713439941406 396.2847900390625 827.3346557617188 637.96337890625 0 0.17290523648262024 220.74559020996094 255.88966369628906 659.298828125 675.2942504882812 7 0.14245834946632385 205.27459716796875 285.1727600097656 876.8671264648438 766.7205200195312 0 0.065546305 256.00745 459.30634 432.747 661.75336 ,test/0004.jpg
2 0.9398306012153625 349.11578369140625 228.70326232910156 779.6666259765625 712.9633178710938 0 0.08887709 350.22076 231.15329 780.706 713.4945 1 0.07581409 340.07944 226.34367 781.73376 717.1666 ,test/0005.jpg
0 0.9856042265892029 897.0235595703125 787.8652954101562 1022.7778930664062 917.4541015625 7 0.9808509349822998 262.9859924316406 4.502842426300049 414.49578857421875 172.9035186767578 0 0.9257625937461853 191.25575256347656 544.9378051757812 275.9676208496094 704.30810546875 0 0.9140259027481079 601.6856689453125 1.5885562896728516 700.8888549804688 85.20702362060547 4 0.9133220911026001 363.8309326171875 447.9774169921875 851.890380859375 721.067626953125 5 0.787217915058136 0.2866901159286499 55.28944778442383 69.42781829833984 224.0879364013672 5 0.7146154046058655 357.73577880859375 446.1380310058594 844.642822265625 722.2047119140625 4 0.5800432562828064 429.82098388671875 15.529976844787598 652.8143310546875 267.83843994140625 0 0.4740612506866455 190.93214416503906 640.8436279296875 327.21734619140625 869.3492431640625 5 0.4074655 49.361244 374.91754 233.71729 738.25006 5 0.392273575 192.15985 645.48425 320.01373 873.1593 4 0.3128781 52.679558 390.372 228.9484 731.32806 3 0.25540507 0.0 56.831093 68.52792 223.64407 7 0.24081607 191.44876 651.71185 332.5875 871.05853 7 0.16477877 1.0402184 53.2638 68.93979 230.20786 4 0.14060201 191.96901 638.96515 323.5799 871.88995 5 0.133698075 430.93884 6.7279205 731.838 276.09503 0 0.10277612 36.964203 371.10742 239.06442 739.96326 0 0.088626405 1.7024002 58.379112 70.85485 222.97815 9 0.08715082 37.496613 369.88312 244.18396 730.28937 3 0.085835645 192.38501 640.76953 319.19855 871.3341 9 0.061063655 193.65646 545.61035 279.2164 712.0697 ,test/0006.jpg
9 0.9658029675483704 339.3572998046875 119.11695861816406 965.4010009765625 712.75439453125 1 0.9367626905441284 883.5452270507812 897.6063842773438 1022.5723876953125 1022.2814331054688 9 0.8524063229560852 553.9976196289062 462.6796875 890.501953125 736.8734741210938 0 0.6397377848625183 5.127040863037109 537.2769165039062 296.03729248046875 1021.0388793945312 1 0.5950010418891907 243.84756469726562 882.2156982421875 605.1226806640625 1023.8757934570312 7 0.5677450895309448 0.0 867.335693359375 22.114830017089844 1024.0 1 0.5175767540931702 991.9207763671875 937.5881958007812 1023.5573120117188 1021.1661376953125 9 0.5162035822868347 0.48259785771369934 555.6680297851562 300.2893371582031 1021.4633178710938 9 0.44696351885795593 98.13434600830078 86.08946990966797 992.6700439453125 976.7955322265625 7 0.324976175 887.17395 891.27325 1021.9769 1024.0 0 0.28799185156822205 170.1133270263672 82.49858093261719 987.557373046875 823.4249877929688 0 0.271249383687973 313.2166442871094 0.0 1014.21240234375 316.9837646484375 1 0.2507007122039795 85.2786636352539 114.23453521728516 1024.0 950.3699340820312 7 0.237783225 113.45196 170.45183 337.42413 513.97516 0 0.21860513 0.0 868.55524 22.193993 1023.05426 9 0.205416085 347.22522 176.13812 522.72253 665.4865 9 0.20057711005210876 353.2301330566406 0.2705538868904114 1017.5208740234375 301.8522033691406 0 0.19039379 888.08844 893.96515 1024.0 1024.0 0 0.18368233740329742 114.94587707519531 181.92266845703125 345.2064514160156 549.8773193359375 0 0.168411 547.7511 456.84326 901.1798 740.88574 1 0.13470991 0.0 863.4345 22.81971 1024.0 9 0.07950166 295.403 516.5397 431.0683 671.5748 1 0.07908553 437.30536 962.59357 513.3875 1023.4383 1 0.075939735 127.644775 166.95673 497.9818 722.9127 1 0.07058712 213.55362 894.1339 402.4152 1022.26355 0 0.070058285 992.7186 938.46313 1022.905 1014.2291 0 0.06996602 772.93036 88.21566 833.14166 177.32251 1 0.0600474925 0.0 554.5241 322.2514 1018.5568 5 0.0536789375 0.60586834 870.4083 22.784653 1023.67944 0 0.05100669 119.07576 190.79984 582.0191 801.187 1 0.0509195925 116.39352 178.21184 339.88718 568.44995 ,test/0007.jpg
7 0.9976871609687805 2.2554855346679688 611.201904296875 181.32777404785156 873.4013061523438 7 0.9967244267463684 162.92990112304688 514.8982543945312 467.3771057128906 965.8773803710938 1 0.996337890625 645.491455078125 637.6437377929688 721.0321655273438 758.8319702148438 7 0.9898134469985962 395.53790283203125 464.347900390625 688.1243896484375 874.2976684570312 7 0.9889034032821655 0.7359331250190735 356.6941833496094 267.8624572753906 641.3771362304688 7 0.9839282035827637 683.541015625 535.3511962890625 790.7085571289062 696.7179565429688 7 0.9811720252037048 541.8666381835938 429.0982971191406 702.578857421875 618.9615478515625 7 0.8883856534957886 353.4815979003906 125.33588409423828 421.12847900390625 222.85806274414062 6 0.8361955881118774 773.8007202148438 276.3443298339844 976.1759643554688 618.7926635742188 5 0.8334162831306458 257.0439453125 560.7823486328125 306.03125 678.6934814453125 0 0.7400404214859009 104.31268310546875 904.2711791992188 169.61593627929688 970.8859252929688 7 0.5965162515640259 359.28021240234375 496.4026794433594 471.3661193847656 700.4841918945312 7 0.5639351606369019 225.2965087890625 491.6102294921875 332.15081787109375 565.005615234375 5 0.5085262060165405 774.2432250976562 275.05767822265625 978.0174560546875 627.5052490234375 7 0.49187625 0.005514145 525.5511 49.868538 686.8112 5 0.48653855 152.22043 575.1809 205.31375 664.5813 1 0.48272625 359.5123 500.4659 437.7424 586.952 0 0.39269545 361.7652 0.007862091 416.745 88.37981 5 0.31187009811401367 0.28753793239593506 362.9215087890625 259.83514404296875 603.5640869140625 1 0.24962672591209412 104.64795684814453 904.7720947265625 169.13339233398438 971.4129638671875 1 0.231213885 359.09375 499.5295 445.94458 687.0438 2 0.17697565 102.87947 905.06714 170.23534 971.12427 5 0.15955043 660.2777 449.69086 812.68555 626.1014 7 0.142646865 158.41197 494.3774 333.35645 666.774 7 0.13316402 486.58545 432.29877 693.78613 739.1337 7 0.10775867 644.58484 448.96472 809.6262 616.23267 5 0.095978675 399.44778 468.61304 684.4037 871.2648 7 0.091122225 250.60919 479.0238 633.699 907.6111 1 0.081451835 667.36743 464.93915 810.41833 621.9637 0 0.06456274 684.56696 537.22034 788.78253 695.95276 6 0.056020985 672.2241 457.31332 805.1763 527.45776 7 0.054943502 688.82526 508.2499 803.02203 626.0394 0 0.05185413 247.50308 529.3751 310.75186 712.3036 7 0.050185735 240.29163 512.7105 315.00037 690.03094 ,test/0008.jpg
0 0.9873393774032593 286.66986083984375 112.26639556884766 660.436279296875 980.0612182617188 1 0.08449331 291.2096 124.39871 659.4099 884.6089 2 0.08157531 297.39386 122.63843 665.87775 808.1343 0 0.05319459 304.00397 519.7457 679.9762 976.4009 ,test/0009.jpg
