PredictionString,image_id
7 0.9799569845199585 602.6419067382812 518.0202026367188 956.41552734375 1023.6180419921875 7 0.9769411087036133 217.2481231689453 52.396602630615234 454.65155029296875 471.16302490234375 7 0.9746646881103516 119.13699340820312 421.65386962890625 331.5145568847656 709.5563354492188 7 0.9713524580001831 390.1383056640625 193.10971069335938 639.7721557617188 544.2412109375 7 0.9475633502006531 449.33782958984375 600.6753540039062 647.4118041992188 875.2911987304688 1 0.9370164275169373 567.74072265625 102.50935363769531 787.5980224609375 376.1838684082031 5 0.9359267354011536 341.77130126953125 641.9541015625 395.9314270019531 725.5691528320312 7 0.9242897033691406 265.7254943847656 441.4452819824219 431.236083984375 580.2130737304688 7 0.9147637486457825 616.6949462890625 336.9242248535156 880.0077514648438 608.3656616210938 5 0.9001916646957397 244.18942260742188 684.0985717773438 301.4423522949219 748.5194702148438 7 0.5923715829849243 213.1127166748047 693.1777954101562 253.2838897705078 731.6829223632812 5 0.4362809360027313 323.83795166015625 668.4234619140625 460.06365966796875 744.1246337890625 5 0.41702184081077576 321.74346923828125 549.140625 468.10870361328125 745.171630859375 7 0.40270349383354187 544.989501953125 342.19586181640625 709.490234375 604.2254028320312 5 0.39349257946014404 329.5633544921875 639.6181640625 352.78094482421875 684.243408203125 0 0.28702273964881897 387.85504150390625 683.3941040039062 424.69488525390625 721.2511596679688 6 0.28545868396759033 430.93212890625 466.6141357421875 603.7855224609375 683.271240234375 5 0.2689273953437805 388.3905029296875 684.0286254882812 424.53125 721.5825805664062 7 0.2401701658964157 319.6489562988281 562.960205078125 404.8700866699219 619.370849609375 1 0.23452165722846985 247.21400451660156 423.98406982421875 283.211181640625 474.13568115234375 7 0.20653888583183289 465.1595458984375 554.7501831054688 561.591552734375 657.2684936523438 5 0.1411658078432083 359.321533203125 596.6856079101562 418.38427734375 648.5021362304688 5 0.139817014336586 431.0190734863281 466.6612243652344 608.74658203125 683.2574462890625 5 0.1313229203224182 395.09674072265625 612.69482421875 450.71014404296875 686.370849609375 ,test/0000.jpg
5 0.9822072982788086 343.1339111328125 251.727783203125 752.7203979492188 694.5608520507812 5 0.8156505823135376 131.31912231445312 0.3053308427333832 492.9347229003906 269.62255859375 6 0.6760956048965454 752.5203857421875 656.6428833007812 904.7174072265625 1020.6737670898438 ,test/0001.jpg
1 0.9702571630477905 75.59136199951172 272.6661682128906 425.6097106933594 604.4254760742188 1 0.9629465937614441 302.7602233886719 313.304931640625 1022.0498657226562 747.5781860351562 1 0.9598103761672974 776.3206787109375 401.76904296875 1024.0 1023.6187133789062 4 0.6439474821090698 865.3750610351562 244.1996307373047 914.8307495117188 324.78887939453125 0 0.4773675799369812 112.74517059326172 289.98944091796875 306.4378356933594 601.3502197265625 1 0.39282068610191345 677.310302734375 228.66419982910156 867.223388671875 324.5128173828125 1 0.3730134963989258 422.7139892578125 268.86578369140625 641.599609375 330.00396728515625 5 0.35074812173843384 865.6107177734375 244.16009521484375 913.734130859375 324.22222900390625 1 0.2247275859117508 993.72509765625 303.87841796875 1024.0 400.04833984375 ,test/0002.jpg
9 0.8084011077880859 63.34208297729492 228.14329528808594 963.58154296875 987.9320068359375 9 0.5960900783538818 0.02578257955610752 0.0 848.3093872070312 846.4375610351562 9 0.40445753931999207 0.0 432.8621826171875 293.2054138183594 1023.8204345703125 ,test/0003.jpg
0 0.4706324338912964 193.336669921875 275.93524169921875 872.857421875 781.0574340820312 0 0.30378463864326477 426.8815002441406 408.19378662109375 655.9141845703125 576.9661865234375 7 0.20000401139259338 210.1573486328125 398.9013671875 873.1812744140625 778.38720703125 ,test/0004.jpg
2 0.9859163761138916 348.1344299316406 226.21533203125 783.1005859375 714.507080078125 ,test/0005.jpg
5 0.9552969336509705 364.15106201171875 451.7734375 845.755615234375 723.4228515625 9 0.5895854234695435 598.2333984375 0.021320054307579994 703.5454711914062 85.14517974853516 3 0.40054386854171753 0.0021082295570522547 1.4849461317062378 70.04318237304688 220.635986328125 7 0.3471525311470032 270.43511962890625 3.8653564453125 411.10028076171875 172.3897705078125 ,test/0006.jpg
1 0.6333852410316467 113.90483093261719 119.3809814453125 895.3766479492188 911.0535278320312 0 0.5358980894088745 97.74319458007812 514.1834106445312 896.986328125 1023.9126586914062 9 0.513690173625946 186.9998321533203 102.64390563964844 1002.1620483398438 912.0146484375 1 0.41434383392333984 885.7098388671875 886.0947265625 1023.962890625 1024.0 0 0.1487812101840973 302.4376220703125 1.08447265625 1023.6177978515625 617.9276123046875 1 0.1416516751050949 441.1048583984375 898.4378662109375 617.6129150390625 1024.0 0 0.12671782076358795 0.42242431640625 250.39453125 680.0784301757812 1024.0 ,test/0007.jpg
7 0.980674684047699 167.23806762695312 526.6024780273438 467.3748474121094 960.39453125 7 0.963288426399231 397.67926025390625 467.1178894042969 687.8009033203125 872.91357421875 7 0.9527415037155151 682.4307861328125 530.2684326171875 791.5839233398438 702.3901977539062 7 0.9491721391677856 0.6766049265861511 614.9595947265625 180.58726501464844 878.41455078125 6 0.9487432241439819 772.4778442382812 278.24395751953125 979.0762329101562 617.7393188476562 1 0.9470342993736267 645.6875610351562 635.9628295898438 719.9779663085938 760.2843627929688 7 0.9276471138000488 0.5356780886650085 360.0983581542969 265.04644775390625 633.6700439453125 1 0.9232439994812012 105.5878677368164 906.7501831054688 171.0404052734375 971.4312744140625 7 0.813747227191925 217.4043426513672 491.1680908203125 333.97235107421875 556.9615478515625 7 0.5551580190658569 357.31329345703125 498.2380676269531 466.5321350097656 742.4283447265625 1 0.24347348511219025 357.43951416015625 498.00347900390625 466.39166259765625 711.7379760742188 7 0.22095640003681183 153.23468017578125 495.89178466796875 333.38836669921875 665.7102661132812 ,test/0008.jpg
0 0.9072762727737427 299.3466796875 117.72225952148438 660.8980712890625 972.5162353515625 3 0.251726359128952 298.01947021484375 96.843994140625 660.4336547851562 974.374755859375 ,test/0009.jpg
