PredictionString,image_id
0 0.47128326 499.14587 597.7394 548.3113 639.5586 0 0.29281992 440.20105 474.7529 545.9437 528.2696 0 0.23619352 485.16284 586.656 557.1123 648.5228 0 0.23077184 480.81934 614.91626 510.54425 657.98645 0 0.1804869 472.84354 595.66266 591.8907 673.30316 0 0.11205472 496.77432 601.4054 585.2056 652.1741 0 0.06737448 472.5913 553.6949 559.71204 643.07184 0 0.06279832 475.284 477.08456 538.3411 508.2405 1 0.99712026 559.40015 114.96714 741.8384 353.88397 1 0.24157494 390.321 680.47437 424.48703 719.78894 1 0.20103191 646.3417 186.29271 691.2488 248.65971 1 0.16037929 638.10614 256.55548 735.992 342.57745 1 0.06122308 461.60577 558.565 559.0932 607.389 1 0.058858935 638.2807 181.96494 748.4196 334.10458 2 0.31435972 639.0816 257.8059 731.73846 337.65253 2 0.2478992 328.6478 639.5145 366.55472 683.3699 2 0.12095137 395.1058 616.8574 449.09622 691.8008 4 0.49377307 335.62567 640.54877 397.91418 722.88666 4 0.14204575 479.62918 613.1551 509.0447 660.96954 4 0.13744628 486.59384 599.1349 586.5464 656.9203 4 0.114279 468.5662 589.7711 570.6605 679.64844 5 0.9998845 244.92989 684.16583 300.36594 750.014 5 0.86818767 394.94565 617.08636 449.5057 690.84454 5 0.7918344 337.97433 640.3194 397.8326 722.5192 5 0.3676284 497.98428 600.20483 583.3462 653.1084 5 0.25659487 389.94772 680.47595 425.0646 719.14795 5 0.229289 472.84354 595.66266 591.8907 673.30316 5 0.20311524 323.202 569.9392 382.65005 619.8218 5 0.17561567 478.0578 582.9193 564.71564 651.6616 5 0.12703928 326.006 656.3466 472.92642 747.11945 5 0.08783277 500.1349 598.2556 548.1969 639.1957 5 0.08041235 361.33026 554.1922 443.52673 632.02325 5 0.07289107 368.9172 677.7095 474.57913 731.6312 5 0.07162322 326.82538 563.43994 474.0711 755.5763 5 0.062451497 461.60577 558.565 559.0932 607.389 6 0.9309376 430.91312 467.00806 564.3323 670.67664 6 0.13059522 426.8809 470.50446 554.5728 575.12933 6 0.07988254 441.32367 474.0433 546.22107 534.60297 6 0.06505391 451.99518 554.5294 567.3592 665.15247 7 0.99990344 213.4492 43.316193 454.66974 484.10202 7 0.999752 122.814125 415.46976 330.68613 724.1644 7 0.9996855 608.51526 516.1234 946.9253 1024.0 7 0.9993917 390.28604 185.36539 600.43176 550.42847 7 0.9978976 638.27313 331.68823 879.45245 644.77045 7 0.995895 556.08575 339.74072 710.1099 600.98035 7 0.9954383 448.35944 593.9495 645.8775 880.34625 7 0.99409544 256.05417 446.97244 431.68295 597.0424 7 0.65410626 242.26164 409.5573 321.71255 464.5044 7 0.44406268 541.70807 187.22925 576.03143 243.28824 7 0.43516812 144.25566 426.89856 193.65166 448.37018 7 0.19052862 494.2856 593.1678 557.2033 650.2049 7 0.1746788 472.79666 556.6112 560.9834 645.64417 7 0.11400781 471.61288 583.5371 579.99585 670.10876 7 0.053923722 450.21503 554.90753 559.30505 600.4604 ,test/0000.jpg
4 0.9824112 337.21033 236.95361 758.94006 692.4238 4 0.18683822 127.347916 2.5261993 496.53345 277.91663 5 0.992261 127.27908 2.7993164 495.53226 277.47177 5 0.39568952 330.38974 235.19954 747.49646 694.0319 6 0.9912293 760.12225 661.3014 897.04974 992.4103 ,test/0001.jpg
0 0.99391526 877.58307 460.38898 1018.58 622.908 0 0.77242136 116.925255 297.99274 262.65372 601.09937 0 0.69216156 790.9741 446.47205 1022.11633 655.0491 0 0.436391 784.4236 404.1091 1022.50305 1024.0 0 0.41695437 252.98169 324.7102 1024.0 379.6457 0 0.4136921 77.931564 279.2626 439.30475 599.48804 0 0.37977728 346.87512 331.36716 1004.97046 456.0488 0 0.26719326 0.0 234.78 166.53278 469.54196 0 0.2428185 257.07224 270.91742 359.63626 596.48285 0 0.1821251 91.85576 373.87 288.9389 514.7059 0 0.16755266 761.8065 230.2242 929.31494 326.5967 0 0.15693958 88.371475 350.05072 255.58305 467.60217 0 0.12870027 803.12054 308.12878 1013.5472 615.0884 0 0.093490295 116.683815 441.77948 243.40323 590.11444 0 0.085372195 238.60498 286.43365 427.26855 640.54663 0 0.07449024 296.34326 329.75064 1009.9757 709.2833 0 0.061239887 120.82832 493.39584 248.03334 557.9949 0 0.05804184 677.457 229.32532 786.8637 323.65717 1 0.9888698 291.55054 321.4458 1024.0 737.17505 1 0.96420604 413.4461 271.5534 641.4444 339.84882 1 0.9116337 83.55583 276.62695 406.6618 597.38556 1 0.8744772 781.2979 379.71634 1022.9036 1024.0 1 0.38499326 674.9069 228.68286 1018.45575 339.06293 1 0.37013268 763.52026 230.28659 927.2991 326.51175 1 0.23216441 677.3609 229.02055 786.27423 324.14386 1 0.0903905 131.97325 549.72266 248.41225 586.05176 1 0.087272994 954.3589 232.42027 1023.83545 313.93262 1 0.08003583 114.949776 447.221 239.46066 594.53424 1 0.06948592 983.9934 314.99942 1022.515 385.5272 1 0.067572206 351.2072 275.45578 1016.4644 375.69955 1 0.06741822 120.82832 493.39584 248.03334 557.9949 1 0.058018524 304.92947 263.41568 1005.65295 453.0519 1 0.057597693 966.2677 233.10153 1024.0 246.73947 2 0.35738903 677.64923 229.24007 786.8558 323.16296 3 0.28165177 0.0 233.63086 144.96954 468.38202 3 0.1802295 678.4353 229.97946 780.3989 323.4584 4 0.99522334 868.08075 244.43471 913.435 324.97256 4 0.7151014 991.83 305.62674 1022.9084 393.09927 4 0.656535 1001.089 307.18423 1024.0 333.999 4 0.4203354 1006.50934 306.2737 1024.0 395.4708 4 0.30912822 0.0 234.52069 145.23163 468.5796 4 0.21384546 770.73047 230.76167 922.48 326.47534 5 0.673167 680.7315 229.86264 767.8134 324.37143 5 0.32909146 0.0 234.1937 146.40547 470.83273 5 0.23451665 768.029 230.89499 924.1485 326.3013 5 0.17246468 1003.011 306.74146 1024.0 334.3238 5 0.14124237 991.5107 305.2046 1022.19086 391.11603 5 0.1369138 668.14954 227.99051 995.2665 330.8223 6 0.07669074 296.34326 329.75064 1009.9757 709.2833 6 0.06997764 765.736 230.59515 928.2818 326.80096 7 0.10882719 770.7488 227.89526 868.77295 237.23248 7 0.07465711 415.8174 271.33725 641.1065 337.69583 7 0.07233936 679.89636 229.83337 770.51245 324.38873 7 0.06907585 781.39197 384.0569 1022.7825 1024.0 7 0.05670488 0.0 234.52069 145.23163 468.5796 ,test/0002.jpg
9 0.99978286 162.23499 261.20837 896.0698 813.1366 9 0.47868934 21.879913 92.29234 976.81604 439.81293 9 0.36750564 85.58386 620.7145 1024.0 1021.85 9 0.15719697 0.0 46.645294 394.88904 1012.2831 9 0.15575822 20.32492 1.6017761 964.2705 756.37 ,test/0003.jpg
0 0.9719947 451.23795 413.19702 650.5996 550.68365 0 0.17800431 240.61511 259.31528 861.4586 780.93823 0 0.123646334 420.59952 268.9035 676.1595 582.18933 1 0.9819635 212.86905 256.81534 861.7219 774.2434 1 0.058564253 428.1889 412.75427 656.0893 564.3246 ,test/0004.jpg
2 0.999877 344.92395 235.5039 774.14795 708.2391 ,test/0005.jpg
0 0.966749 896.05566 787.46497 1021.5918 916.22473 0 0.8361289 600.9333 0.0 701.8746 85.747406 0 0.7575873 196.34415 545.2594 275.7889 694.8634 0 0.35697857 190.47461 650.6472 318.59076 874.64453 0 0.23094267 311.7292 675.0193 376.23822 747.3522 0 0.17132123 0.6507149 807.50916 87.598495 941.0045 0 0.07334553 0.0 66.44961 68.81523 221.874 3 0.06999618 190.95085 649.6513 317.474 874.1691 4 0.99928075 426.89532 21.023308 659.79205 268.15173 4 0.98796 344.41818 452.89343 845.33887 722.1554 4 0.65587145 41.448166 378.50827 238.94264 752.61 4 0.2400334 181.33423 373.92224 478.66473 693.84607 4 0.17585169 190.86014 649.96014 318.0643 874.99567 5 0.93518233 0.0 66.62143 68.865486 221.99841 5 0.70320076 51.297997 372.85608 230.18408 758.07275 5 0.69417125 190.34332 649.82074 318.19604 874.8725 5 0.07689969 342.82565 451.27356 843.4918 722.99854 7 0.993638 280.54883 11.516502 407.27087 180.29327 ,test/0006.jpg
0 0.32377243 401.51965 493.4705 1020.02356 1024.0 0 0.3188863 575.9181 491.73993 896.4584 731.6729 0 0.11506419 85.592285 67.0614 1017.2417 919.1189 0 0.1110839 215.92186 474.68506 255.02531 685.04224 0 0.1061567 325.48404 108.247604 876.9154 257.4124 0 0.07760097 5.8793488 487.71906 335.9431 1017.86346 0 0.05691512 233.42078 54.494987 1003.9253 308.80838 0 0.052852016 281.44174 670.2778 497.39322 822.41095 1 0.94990444 884.87366 895.06244 1022.4883 1023.10114 1 0.8904248 177.74692 894.47766 627.849 1020.781 1 0.6618804 356.94803 896.64056 520.4728 1024.0 1 0.42241225 81.67325 61.712128 1024.0 915.11426 1 0.31585935 401.01923 896.048 619.06104 1021.99133 1 0.24493606 208.53549 891.8994 378.09445 1024.0 1 0.13652039 84.23218 446.74768 942.74695 914.6079 1 0.0532113 734.114 114.270706 783.5642 142.62587 2 0.07284644 102.74875 72.25687 1013.79663 907.2765 7 0.82697934 0.0 865.1532 26.156643 1024.0 7 0.10087051 215.92186 474.68506 255.02531 685.04224 7 0.05957849 0.0 858.54443 52.591736 1024.0 9 0.9590855 310.61728 69.92258 1002.97156 728.92676 9 0.92032343 574.7486 492.14172 896.5972 731.4741 9 0.50130916 993.60284 938.01 1023.89325 1024.0 9 0.44404 295.4342 516.7646 439.00848 671.34344 ,test/0007.jpg
0 0.9964599 103.468315 907.6927 167.3086 970.8802 0 0.8735115 360.15887 0.48648834 417.54645 90.50787 0 0.0804701 353.4513 124.65999 420.27014 222.81273 1 0.87834716 644.863 638.79816 718.9223 766.3001 1 0.6031005 360.4046 496.03247 436.2433 585.8544 1 0.09063752 367.1337 560.6776 417.67752 586.6697 1 0.07269553 368.50314 513.1684 411.3768 581.4771 2 0.053141825 153.60492 573.6716 205.84103 667.68 3 0.54219264 664.5129 450.95422 811.33795 632.15173 5 0.8181653 260.0802 565.6566 301.63458 690.6998 5 0.66756135 153.62715 573.2734 206.45506 668.06586 5 0.32611668 599.7399 345.9721 735.32526 467.52783 5 0.22477838 778.1108 279.1383 973.4329 618.211 5 0.1283547 220.92444 557.1648 303.80353 693.46106 5 0.110131696 153.50728 551.04553 230.97612 682.0857 5 0.08610646 360.10336 496.02057 436.87222 586.1474 5 0.05915474 664.6913 450.5277 811.4199 632.0614 6 0.9303404 778.03656 279.31482 973.50726 617.87384 6 0.09631051 664.40576 452.28146 811.53076 628.7448 7 0.9998909 161.16809 519.533 461.6989 966.6861 7 0.99967027 1.8349304 615.0761 178.86353 873.1789 7 0.9996693 397.0473 449.64236 690.17474 882.31384 7 0.99573517 680.26874 532.8862 784.25653 694.3772 7 0.99487203 4.02742 362.8985 275.72522 659.5151 7 0.98870814 521.5837 430.6434 719.7149 637.84906 7 0.95814836 353.57675 124.773674 420.25705 222.54434 7 0.9357203 0.0 527.0563 49.497997 693.6177 7 0.9313442 232.63324 493.22968 337.877 559.15485 7 0.59044677 360.99512 496.09894 444.05432 588.6325 7 0.30967152 364.39267 499.7022 445.31656 721.3461 7 0.28845853 667.3954 453.0949 806.6448 698.02606 7 0.06608106 228.62762 491.50726 281.30118 539.08417 ,test/0008.jpg
0 0.9689752 299.06305 109.95996 655.8808 986.6831 1 0.057522517 299.33334 108.9158 657.0386 984.11304 9 0.22517176 299.75763 106.09335 657.17285 984.343 ,test/0009.jpg
