PredictionString,image_id
7 0.9837279319763184 603.10595703125 517.88330078125 956.40478515625 1023.239013671875 7 0.9785768985748291 216.74305725097656 52.249755859375 454.9271240234375 471.1756591796875 7 0.9778668284416199 390.22698974609375 193.25425720214844 639.5792846679688 544.143310546875 7 0.9768551588058472 118.99630737304688 421.1927795410156 331.86053466796875 709.6624755859375 7 0.9746451377868652 450.4647216796875 599.680419921875 647.552001953125 875.4312744140625 7 0.9708771705627441 652.2093505859375 335.51763916015625 880.5870361328125 609.65966796875 1 0.9319745898246765 567.5621337890625 102.04763793945312 787.3165283203125 378.3337707519531 5 0.9274377822875977 341.78289794921875 641.3301391601562 395.60675048828125 725.9525756835938 7 0.9066635370254517 266.84588623046875 441.2911376953125 431.09686279296875 580.9345092773438 5 0.8933432102203369 244.17147827148438 684.6832885742188 301.4212951660156 748.4347534179688 5 0.8725618720054626 323.83795166015625 668.4234619140625 460.06365966796875 744.1246337890625 7 0.8054069876670837 544.989501953125 342.19586181640625 709.490234375 604.2254028320312 0 0.5740454792976379 387.85504150390625 683.3941040039062 424.69488525390625 721.2511596679688 7 0.42913612723350525 212.30467224121094 691.141357421875 253.0753631591797 731.78955078125 ,test/0000.jpg
5 0.9817110300064087 343.20672607421875 251.65948486328125 752.8099975585938 694.5243530273438 6 0.7838159203529358 763.9656982421875 665.56591796875 906.3651123046875 1023.9215087890625 5 0.6902868151664734 130.626953125 0.41595458984375 492.86212158203125 269.31488037109375 ,test/0001.jpg
1 0.9632945656776428 776.333251953125 401.46002197265625 1024.0 1023.2400512695312 1 0.9629313349723816 303.682861328125 311.9862060546875 1024.0 748.6966552734375 1 0.962627649307251 75.3968505859375 272.6339111328125 425.69097900390625 604.134033203125 4 0.8547325134277344 865.2916259765625 244.23519897460938 914.5611572265625 324.9854431152344 1 0.7856413722038269 677.310302734375 228.66419982910156 867.223388671875 324.5128173828125 1 0.7460269927978516 422.7139892578125 268.86578369140625 641.599609375 330.00396728515625 5 0.7014962434768677 865.6107177734375 244.16009521484375 913.734130859375 324.22222900390625 0 0.5153629183769226 89.96277618408203 289.267333984375 314.99932861328125 604.0545654296875 1 0.4494551718235016 993.72509765625 303.87841796875 1024.0 400.04833984375 0 0.4393722712993622 139.46783447265625 290.83648681640625 296.3956298828125 598.1781005859375 ,test/0002.jpg
9 0.8089150786399841 0.0 432.8621826171875 293.2054138183594 1023.8204345703125 9 0.7593329548835754 106.34796142578125 259.599365234375 971.1340942382812 947.2025146484375 9 0.662635326385498 0.069580078125 0.0 717.3580322265625 902.7569580078125 9 0.5215550661087036 0.0 0.0 942.83154296875 813.4632568359375 ,test/0003.jpg
0 0.9412648677825928 193.336669921875 275.93524169921875 872.857421875 781.0574340820312 0 0.6075692772865295 426.8815002441406 408.19378662109375 655.9141845703125 576.9661865234375 ,test/0004.jpg
2 0.9859484434127808 348.27154541015625 225.99012756347656 782.7105102539062 713.1383056640625 ,test/0005.jpg
5 0.980307400226593 364.4552307128906 451.8430480957031 846.0577392578125 723.264892578125 9 0.6328023672103882 596.078369140625 0.0 703.591796875 85.15690612792969 3 0.323159784078598 0.00522613525390625 0.87744140625 70.10013580322266 221.1282958984375 ,test/0006.jpg
0 0.7969438433647156 177.4111328125 544.8983154296875 1020.6046142578125 1024.0 1 0.7515667080879211 113.9111328125 139.449951171875 909.8779296875 903.011474609375 9 0.6283471584320068 113.85498046875 99.213623046875 1008.097412109375 740.1497802734375 0 0.36937016248703003 0.0 449.15289306640625 746.9619140625 1023.4929809570312 0 0.2975624203681946 302.4376220703125 1.08447265625 1023.6177978515625 617.9276123046875 1 0.29485514760017395 886.0054931640625 873.1995849609375 1024.0 1024.0 9 0.26284968852996826 107.9158935546875 99.5694580078125 973.232421875 1012.572021484375 0 0.2534356415271759 0.42242431640625 250.39453125 680.0784301757812 1024.0 ,test/0007.jpg
7 0.977976381778717 167.18751525878906 525.880859375 469.6068115234375 960.638671875 7 0.9653239250183105 400.4114990234375 467.58013916015625 688.3072509765625 871.8672485351562 6 0.9652355313301086 772.54931640625 278.09832763671875 978.97265625 617.9851684570312 1 0.9551156759262085 646.227783203125 635.9786376953125 720.016845703125 760.52734375 7 0.9523341655731201 682.051025390625 529.63134765625 791.82470703125 702.245849609375 7 0.9349035620689392 0.5483551025390625 613.1693115234375 180.99476623535156 875.7647705078125 7 0.9260427355766296 0.719512939453125 360.44744873046875 264.7292175292969 637.5451049804688 1 0.8910582661628723 105.68156433105469 906.8077392578125 170.93580627441406 971.5672607421875 7 0.6944354772567749 217.70814514160156 490.98297119140625 333.2613525390625 555.9628295898438 7 0.49345099925994873 357.157470703125 497.9007263183594 466.30804443359375 786.7679443359375 7 0.44191280007362366 153.23468017578125 495.89178466796875 333.38836669921875 665.7102661132812 ,test/0008.jpg
0 0.9295163154602051 299.697021484375 112.51873779296875 661.4427490234375 960.9786987304688 ,test/0009.jpg
4 0.972900390625 208.2257537841797 319.8597412109375 651.2533569335938 479.45867919921875 4 0.769532322883606 71.87396240234375 596.0240478515625 413.29296875 720.1702880859375 ,test/0010.jpg
5 0.9775757789611816 804.39990234375 261.76348876953125 1002.04736328125 406.54022216796875 5 0.9103315472602844 465.8978271484375 114.61160278320312 776.3275146484375 352.441162109375 3 0.9025112986564636 709.3012084960938 323.755126953125 916.9295043945312 470.92626953125 5 0.9017031788825989 65.8480224609375 627.8914794921875 624.105224609375 854.150146484375 5 0.9010552167892456 673.9525146484375 414.78961181640625 1023.5343017578125 714.4126586914062 5 0.8804502487182617 623.156494140625 303.67388916015625 762.307373046875 456.38641357421875 6 0.7600300312042236 0.0 158.149169921875 528.8783569335938 788.3258056640625 5 0.7341009974479675 19.33990478515625 495.6201171875 972.5464477539062 1024.0 5 0.42485493421554565 607.3533935546875 707.3462524414062 817.1051025390625 848.4266967773438 0 0.3447996973991394 497.829345703125 332.408203125 1024.0 716.1568603515625 0 0.31134095788002014 31.364013671875 496.4369201660156 828.54541015625 1024.0 5 0.30721184611320496 0.809814453125 496.4810791015625 652.1627807617188 1024.0 ,test/0011.jpg
7 0.979458749294281 291.92059326171875 406.8227233886719 552.497802734375 791.746826171875 ,test/0012.jpg
1 0.9406652450561523 279.564453125 310.2344970703125 868.2047119140625 643.0343017578125 1 0.7660158276557922 187.8295135498047 415.409912109375 561.6558227539062 627.3553466796875 1 0.6415619850158691 215.44140625 490.0381774902344 530.3551025390625 804.7408447265625 1 0.5113182067871094 186.8761444091797 378.89678955078125 484.95111083984375 590.77880859375 1 0.38997772336006165 233.31826782226562 348.628662109375 291.4416809082031 416.33966064453125 ,test/0013.jpg
7 0.9047477841377258 1.24078369140625 255.075439453125 844.6360473632812 892.013916015625 7 0.47118043899536133 1.5521240234375 120.039794921875 450.0756530761719 687.719970703125 7 0.2922022342681885 16.78021240234375 122.03839111328125 450.8309326171875 337.2828063964844 ,test/0014.jpg
7 0.98780357837677 283.3606872558594 230.57119750976562 788.5667724609375 808.1383056640625 ,test/0015.jpg
2 0.9917775392532349 303.64190673828125 378.27880859375 698.2756958007812 752.13330078125 ,test/0016.jpg
9 0.4495629072189331 89.0362548828125 49.88751220703125 963.6229248046875 934.0470581054688 ,test/0017.jpg
0 0.9681332111358643 609.742431640625 359.4503173828125 762.686279296875 492.33953857421875 0 0.9677006602287292 442.9336853027344 398.805419921875 729.2723388671875 640.9169921875 6 0.9555218815803528 151.16558837890625 136.78564453125 970.7044067382812 824.5008544921875 0 0.8079015016555786 154.8378143310547 150.7171630859375 612.3289184570312 524.7244873046875 0 0.41182345151901245 157.8763885498047 156.0194091796875 612.8838500976562 417.474853515625 ,test/0018.jpg
