PredictionString,image_id
0 0.05088178 473.95203 552.88824 563.3927 617.99225 1 0.99770325 565.78723 110.40537 739.7511 349.96994 1 0.5447737 245.48897 409.18646 312.17682 472.79474 1 0.4647796 676.9974 262.02756 728.70966 315.0706 1 0.16154014 657.40515 261.92596 737.7947 337.28082 1 0.119343765 540.52466 183.12692 574.204 238.8056 1 0.117149666 634.74915 196.27121 739.1278 339.50076 1 0.08907261 160.81537 363.3025 246.81064 449.73706 1 0.08326627 433.57178 465.97946 561.9225 679.9545 1 0.07794813 632.8879 262.06863 769.6645 360.76236 5 0.9984274 341.21777 640.5018 395.5832 723.028 5 0.98918194 243.92456 681.72614 299.91144 748.41986 5 0.97527164 392.56418 612.3086 451.80954 689.90125 5 0.8150845 386.92636 682.29095 426.22733 721.872 5 0.29090613 327.3213 638.3703 352.10522 682.9262 5 0.26213983 326.50146 553.55237 459.9541 721.49854 5 0.17736597 430.6866 458.972 567.4466 685.04926 5 0.13579464 343.34637 686.21704 392.34778 727.4553 5 0.07279054 415.9676 565.121 449.6941 626.86145 5 0.07111314 361.72726 597.3995 417.29745 632.46906 5 0.06673543 322.3711 554.74994 434.1789 623.35175 5 0.0590701 419.54553 614.3394 453.86346 652.5645 5 0.05649947 334.78024 617.05524 440.97964 728.5474 5 0.055011388 324.8018 568.2589 384.42435 618.09937 6 0.90490735 429.84058 470.5923 562.0675 672.9236 7 0.999696 216.7725 58.184113 455.81122 475.43588 7 0.9996068 637.8585 322.41266 876.027 609.3859 7 0.9995485 119.449425 424.49393 331.0541 725.5908 7 0.9995353 604.651 516.7949 956.3434 1017.6836 7 0.9994312 445.24866 599.11365 644.37317 876.6614 7 0.9990177 393.482 185.54004 601.0288 548.0236 7 0.99837273 565.8907 343.75964 710.13983 596.74854 7 0.9958483 266.4396 440.67853 433.74765 588.0057 7 0.4517121 321.90253 567.31335 384.04706 619.7899 7 0.38423157 541.0097 182.08081 576.5251 242.17035 7 0.11245836 147.21295 424.68405 208.7623 450.81046 7 0.09046208 430.23145 455.32938 569.3582 683.74457 7 0.068819165 325.4221 542.6363 465.5115 739.53094 7 0.053784348 245.47821 407.0122 318.82184 473.08655 ,test/0000.jpg
0 0.0785941 769.6178 658.32227 895.90234 982.0969 0 0.05742046 639.55426 644.3564 688.4548 854.52216 3 0.062419195 352.97855 240.55754 757.05676 699.9148 4 0.9024749 349.1117 241.16284 750.00037 697.21515 4 0.30025142 141.46086 0.0 504.66284 271.48593 5 0.9958199 136.5843 1.1915131 494.6452 274.77838 5 0.7750021 342.8871 241.67984 757.50415 697.22644 6 0.98429537 764.18677 639.04364 894.2571 996.7045 ,test/0001.jpg
0 0.99457365 872.8444 466.28488 1021.4001 629.41425 0 0.9639973 108.08669 296.98166 294.80273 590.152 0 0.5475591 791.57733 445.25418 1016.8942 742.78906 0 0.3784166 82.90602 289.74005 418.84387 431.52728 0 0.3279124 73.075195 279.12915 427.2372 593.6896 0 0.31097263 781.7754 399.61636 1019.1255 1001.87415 0 0.24987108 330.1641 322.6574 1016.82153 403.70715 0 0.22677176 1.5537872 230.48468 147.48761 481.75287 0 0.20624626 659.7569 290.84024 735.14044 322.98312 0 0.12736315 310.96677 366.7444 1007.7594 704.1384 0 0.092678666 154.51312 293.02698 247.63925 591.65125 0 0.06826493 346.42282 328.1002 947.7958 372.79733 0 0.057709668 253.84688 284.65973 324.43646 591.959 1 0.9961216 286.36862 326.73288 995.00073 746.62537 1 0.99066275 424.38245 268.9076 642.4706 328.37634 1 0.895919 780.80273 449.49222 1019.90576 1018.3274 1 0.78534317 82.598434 281.92667 430.39996 602.73535 1 0.4235363 712.77795 229.35652 1011.4286 340.7314 1 0.4120179 339.35178 314.3741 1023.90076 378.76584 1 0.24408752 674.7373 232.1546 778.53467 322.653 1 0.20477523 755.0062 229.7807 929.64905 324.286 1 0.18708424 1.5361176 234.33875 149.97777 485.54016 1 0.13983028 435.6988 242.94998 1011.07184 382.02176 2 0.21033272 778.74066 433.91043 1023.1724 1015.31384 2 0.10436011 677.8953 231.93549 760.35345 321.18878 3 0.79476357 678.20514 230.2711 757.9039 323.17163 3 0.18664667 0.62802887 236.21005 150.89862 486.1617 3 0.06405552 660.5338 290.16208 734.38416 322.21524 4 0.9913687 866.43994 242.23727 913.7031 324.90793 4 0.96127385 993.10956 303.70615 1023.5368 392.7853 4 0.27220085 1000.53424 306.5807 1024.0 336.33142 5 0.5703958 0.0 231.33499 147.69939 491.32504 5 0.38701424 675.0228 231.52234 760.4082 323.83838 5 0.054780632 1000.55475 306.87946 1024.0 334.6245 6 0.09167295 334.7942 326.7339 1017.3694 402.0374 7 0.059238013 0.9000473 232.67764 145.54208 483.1179 ,test/0002.jpg
9 0.9981704 138.23221 263.48193 920.71936 810.3784 9 0.58134717 34.379395 0.0 1016.4988 337.4308 9 0.49623248 102.630585 752.4247 993.38196 1024.0 9 0.41939795 5.547165 53.895813 316.27155 983.143 9 0.1122382 81.1817 57.256317 968.3143 664.80566 ,test/0003.jpg
0 0.8156095 421.18454 407.31696 654.9124 571.46893 0 0.7292421 172.07184 291.57922 873.4284 761.8749 0 0.29601082 383.39514 275.16425 664.2112 591.1214 0 0.14338067 396.49023 401.25958 818.0348 616.9168 0 0.12017314 252.02011 257.38953 713.5399 653.94775 1 0.5187945 188.26022 293.9771 866.57056 776.0445 7 0.1654728 181.93625 291.24313 880.7241 765.3336 ,test/0004.jpg
2 0.98654526 353.79407 229.64195 777.19836 710.6819 ,test/0005.jpg
0 0.9966608 897.8724 788.1805 1021.5828 919.2111 0 0.9891972 601.2621 2.9356766 700.4995 84.9843 0 0.986068 192.20387 544.89777 278.68555 697.3536 0 0.20555224 36.964203 371.10742 239.06442 739.96326 0 0.19669592 193.30713 622.71967 320.21136 865.41046 0 0.05875581 291.92664 634.7788 378.568 747.374 3 0.17167129 192.38501 640.76953 319.19855 871.3341 4 0.99358433 428.24014 17.761864 639.51276 265.35666 4 0.9546573 366.56427 450.31564 849.53815 721.8463 4 0.6257562 52.679558 390.372 228.9484 731.32806 4 0.28120402 191.96901 638.96515 323.5799 871.88995 5 0.9979721 0.27933502 59.80847 70.4555 225.5195 5 0.814931 49.361244 374.91754 233.71729 738.25006 5 0.78454715 192.15985 645.48425 320.01373 873.1593 5 0.70436263 356.92252 445.9859 842.2228 724.85236 5 0.06380884 433.25018 9.5000305 635.7673 276.70856 7 0.9951598 265.04932 5.4764023 411.0468 173.62643 9 0.17430164 37.496613 369.88312 244.18396 730.28937 ,test/0006.jpg
0 0.78293127 7.142105 537.5023 294.61554 1019.9751 0 0.25543532 106.17886 77.642944 987.36414 961.1809 0 0.14011657 992.7186 938.46313 1022.905 1014.2291 0 0.12476925 274.3821 0.0 1024.0 243.15652 0 0.107635 117.59788 178.74614 357.3197 644.378 0 0.10201338 119.07576 190.79984 582.0191 801.187 0 0.09305011 0.0 865.9957 22.729519 1024.0 0 0.063102245 556.96344 465.05566 892.86395 733.29456 0 0.061038446 884.9096 894.2151 1019.24615 1021.86926 0 0.0550583 244.4549 880.82117 612.1147 1022.31885 1 0.9789514 884.045 892.98486 1021.26776 1022.6968 1 0.94317204 212.16225 881.9608 605.05756 1023.84326 1 0.8792458 992.74115 937.8615 1023.4788 1020.95953 1 0.15187947 127.644775 166.95673 497.9818 722.9127 1 0.14839928 71.90918 106.51367 1024.0 954.15967 1 0.055323426 108.51663 175.67691 357.7808 628.18445 5 0.107357875 0.60586834 870.4083 22.784653 1023.67944 7 0.7207979 0.0 866.0952 22.164862 1024.0 7 0.64995235 887.17395 891.27325 1021.9769 1024.0 9 0.9753465 333.45425 126.285126 977.3739 720.05566 9 0.8168646 551.6105 468.8152 897.6245 736.60913 9 0.5057119 94.74655 75.479004 985.6981 972.0259 9 0.4755402 1.0477295 549.41815 301.9668 1018.49274 9 0.10891242 331.8784 0.0 1001.2318 228.8967 9 0.08815322 126.942795 172.5705 581.45337 805.2407 ,test/0007.jpg
0 0.8424994 104.30263 904.98004 169.68486 970.2576 0 0.7853909 361.7652 0.007862091 416.745 88.37981 1 0.9953852 645.7294 638.3138 720.3861 758.9423 1 0.9654525 359.5123 500.4659 437.7424 586.952 1 0.46242777 359.09375 499.5295 445.94458 687.0438 1 0.212359 104.93591 905.6455 168.84409 970.39417 1 0.05187282 361.98456 526.544 417.0901 586.2609 5 0.9730771 152.22043 575.1809 205.31375 664.5813 5 0.9331535 257.5852 563.64575 304.59332 683.6847 5 0.35410756 772.29584 277.58447 979.22906 618.3025 5 0.30009624 0.08312988 361.39578 274.21338 628.8948 6 0.9793855 771.7762 275.8071 975.0678 618.23975 7 0.99874914 2.9068985 609.15424 179.19797 873.9373 7 0.9987173 161.33969 530.1388 466.80295 964.06665 7 0.9975846 683.63873 533.49347 790.7332 696.2702 7 0.997472 393.1133 460.1493 687.448 873.9563 7 0.99731135 226.65695 491.2713 332.14847 560.1429 7 0.9952956 0.38087463 359.2776 268.1352 637.3375 7 0.99479926 352.6066 125.19115 421.09396 223.5196 7 0.9880777 535.34674 429.84988 701.93304 630.54126 7 0.9837525 0.005514145 525.5511 49.868538 686.8112 7 0.26632804 486.58545 432.29877 693.78613 739.1337 7 0.26541883 363.2871 497.70648 453.45416 702.87445 7 0.109887004 688.82526 508.2499 803.02203 626.0394 7 0.05603486 0.0 454.12103 254.3241 848.644 ,test/0008.jpg
0 0.9841211 280.56903 105.52466 663.38306 980.2804 1 0.0914144 284.35898 103.30432 662.7626 1000.8213 2 0.055611946 274.667 110.00159 661.01544 801.43994 ,test/0009.jpg
