                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1349,                 3.3321,                 1.3705,                0.32147,                0.18929,                0.10997,                 0.0733,                 1.1907,                 2.7902,                 1.4023,               0.070234,              0.0033073,              0.0033073
                      1,                 1.1545,                 2.5745,                 1.3746,                 0.2947,                0.22307,                0.15361,                0.10359,                 1.2362,                 2.6326,                 1.4535,               0.040169,              0.0065749,              0.0065749
                      2,                 1.2186,                 2.4396,                 1.4082,                0.17467,                0.19975,                0.09691,                0.05703,                 1.5124,                 3.7502,                 1.6931,               0.010037,              0.0097765,              0.0097765
                      3,                 1.3167,                   2.48,                  1.483,                0.14677,                0.21965,                0.10713,                 0.0643,                 1.4949,                 3.0212,                 1.6804,               0.009703,               0.009703,               0.009703
                      4,                 1.3068,                 2.4021,                 1.4806,                0.14295,                0.19643,                0.09905,                0.06072,                 1.4767,                 3.2705,                 1.7131,               0.009703,               0.009703,               0.009703
                      5,                 1.2709,                 2.3167,                 1.4685,                0.19328,                0.23543,                0.10329,                0.06672,                 1.3976,                 3.1682,                 1.6169,               0.009604,               0.009604,               0.009604
                      6,                   1.26,                 2.2472,                 1.4531,                0.31043,                0.26048,                0.19769,                0.12952,                 1.3567,                  2.492,                  1.572,               0.009505,               0.009505,               0.009505
                      7,                 1.2227,                 2.1816,                  1.432,                0.26639,                0.23405,                0.15893,                0.10357,                 1.2981,                 2.5514,                 1.5319,               0.009406,               0.009406,               0.009406
                      8,                 1.2148,                 2.1209,                 1.4229,                 0.3036,                0.25209,                 0.2003,                  0.136,                 1.3151,                 2.6067,                 1.5518,               0.009307,               0.009307,               0.009307
                      9,                 1.2047,                 2.0889,                 1.4217,                0.31287,                0.29749,                0.22359,                0.15071,                 1.2768,                  2.355,                 1.4999,               0.009208,               0.009208,               0.009208
                     10,                 1.1892,                 2.0276,                 1.4113,                0.32868,                0.30733,                0.25401,                0.17682,                 1.2615,                 2.3306,                 1.4948,               0.009109,               0.009109,               0.009109
                     11,                 1.1707,                 1.9961,                 1.3972,                0.36602,                0.25906,                0.23276,                0.16154,                 1.2654,                 2.4028,                  1.519,                0.00901,                0.00901,                0.00901
                     12,                 1.1554,                 1.9687,                  1.387,                0.34028,                0.28656,                0.23632,                0.16769,                  1.221,                 2.2913,                 1.4599,               0.008911,               0.008911,               0.008911
                     13,                 1.1676,                 1.9467,                 1.3923,                0.33272,                 0.3007,                0.24356,                0.17385,                 1.2293,                 2.2819,                 1.4704,               0.008812,               0.008812,               0.008812
                     14,                 1.1406,                 1.8966,                  1.376,                0.38144,                0.28764,                0.26174,                0.17888,                  1.218,                 2.3278,                 1.4365,               0.008713,               0.008713,               0.008713
                     15,                 1.1278,                 1.8783,                 1.3713,                 0.4262,                0.29294,                0.27289,                0.19408,                 1.1931,                  2.318,                 1.4324,               0.008614,               0.008614,               0.008614
                     16,                 1.1186,                  1.856,                 1.3688,                0.44382,                0.31821,                0.31328,                0.22721,                 1.1722,                 2.0717,                 1.4438,               0.008515,               0.008515,               0.008515
                     17,                 1.1122,                 1.8491,                 1.3607,                0.42252,                0.29758,                0.28533,                0.20407,                 1.1901,                 2.1779,                 1.4455,               0.008416,               0.008416,               0.008416
                     18,                 1.0937,                  1.822,                 1.3506,                0.37193,                0.32176,                0.27679,                 0.1977,                 1.1416,                 2.1656,                 1.4012,               0.008317,               0.008317,               0.008317
                     19,                 1.0943,                 1.8008,                 1.3417,                0.42075,                0.32072,                0.30779,                0.22494,                 1.1638,                 2.1444,                  1.442,               0.008218,               0.008218,               0.008218
                     20,                 1.0957,                 1.7687,                 1.3482,                0.40603,                0.33473,                0.31695,                  0.236,                  1.147,                 2.0557,                 1.4149,               0.008119,               0.008119,               0.008119
                     21,                 1.0918,                 1.7751,                 1.3495,                 0.4328,                0.34527,                 0.3314,                0.23541,                  1.162,                 2.0367,                 1.4258,                0.00802,                0.00802,                0.00802
                     22,                  1.076,                 1.7308,                 1.3281,                0.35619,                 0.3305,                0.27625,                 0.2007,                 1.1463,                 2.1841,                 1.3975,               0.007921,               0.007921,               0.007921
                     23,                 1.0806,                 1.7401,                 1.3354,                0.41922,                0.30955,                0.30089,                0.21538,                 1.1393,                 2.1206,                  1.411,               0.007822,               0.007822,               0.007822
                     24,                 1.0709,                 1.6961,                 1.3233,                0.41976,                 0.3373,                0.33143,                0.23906,                 1.1134,                 2.0087,                 1.3829,               0.007723,               0.007723,               0.007723
                     25,                 1.0637,                 1.6976,                 1.3223,                0.41851,                0.32635,                0.31067,                0.22638,                  1.125,                 2.0455,                 1.3832,               0.007624,               0.007624,               0.007624
                     26,                 1.0583,                 1.6796,                 1.3183,                0.41295,                0.31209,                0.28641,                0.20341,                 1.1565,                 2.1543,                 1.4143,               0.007525,               0.007525,               0.007525
                     27,                 1.0517,                 1.6502,                 1.3177,                0.42556,                0.33725,                 0.3328,                0.25061,                 1.1098,                 2.0321,                 1.3883,               0.007426,               0.007426,               0.007426
                     28,                 1.0501,                 1.6592,                  1.316,                0.44429,                0.32359,                 0.3154,                0.22877,                 1.0961,                 2.0026,                 1.3645,               0.007327,               0.007327,               0.007327
