                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  0.897,                 2.5683,                 1.4308,                0.38012,                0.40172,                0.33912,                0.26838,                0.78633,                 1.9198,                 1.2995,               0.070074,              0.0033251,              0.0033251
                      1,                0.85158,                 1.8666,                 1.3607,                0.35789,                0.35533,                0.28925,                0.21968,                0.93221,                  2.072,                 1.4311,               0.040073,              0.0066581,              0.0066581
                      2,                0.96629,                  1.932,                 1.4386,                0.33313,                0.34969,                0.26144,                 0.1871,                 1.0959,                 2.4045,                 1.5961,               0.010071,              0.0099894,              0.0099894
                      3,                 1.1229,                  2.143,                 1.5691,                0.26438,                0.29669,                0.20367,                0.14618,                 1.2261,                 2.4922,                 1.7227,              0.0099945,              0.0099945,              0.0099945
                      4,                 1.1328,                 2.1158,                 1.5813,                0.34628,                0.31302,                 0.2636,                0.18811,                 1.1549,                 2.2732,                 1.6413,              0.0099945,              0.0099945,              0.0099945
                      5,                 1.1112,                 2.0698,                 1.5658,                 0.3595,                0.32347,                0.26718,                0.18972,                 1.1234,                 2.1641,                 1.6011,              0.0099902,              0.0099902,              0.0099902
                      6,                 1.0813,                  1.976,                 1.5373,                0.38438,                0.33684,                0.29089,                0.21235,                 1.0709,                 2.1902,                 1.5637,              0.0099847,              0.0099847,              0.0099847
                      7,                 1.0495,                 1.9433,                 1.5252,                0.44778,                0.34625,                0.31816,                0.23542,                 1.0645,                 2.0581,                 1.5654,               0.009978,               0.009978,               0.009978
                      8,                 1.0271,                 1.8731,                 1.5023,                0.43423,                0.33055,                0.31127,                0.22529,                 1.0739,                 2.1045,                 1.5586,              0.0099701,              0.0099701,              0.0099701
                      9,                  1.014,                 1.8431,                 1.4907,                0.38896,                0.33755,                0.31093,                0.22939,                 1.0386,                 2.0531,                 1.5425,               0.009961,               0.009961,               0.009961
                     10,                0.99174,                 1.7748,                 1.4695,                 0.4442,                0.39282,                0.37479,                0.27888,                0.98008,                 1.8772,                  1.483,              0.0099506,              0.0099506,              0.0099506
                     11,                0.96379,                 1.7222,                 1.4553,                0.48405,                0.37983,                0.37745,                0.28345,                0.96834,                  1.874,                 1.4804,              0.0099391,              0.0099391,              0.0099391
                     12,                0.94508,                 1.6905,                 1.4375,                0.51814,                0.40378,                0.40503,                0.31328,                0.95318,                 1.8345,                 1.4585,              0.0099263,              0.0099263,              0.0099263
                     13,                 0.9438,                 1.6608,                 1.4364,                0.50798,                 0.3585,                0.38073,                0.29597,                0.95965,                 1.8576,                 1.4675,              0.0099123,              0.0099123,              0.0099123
                     14,                0.92836,                  1.613,                  1.418,                 0.5287,                0.38184,                0.40982,                0.31219,                0.92931,                 1.7984,                  1.446,              0.0098972,              0.0098972,              0.0098972
